,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,4.433,2.555,ADULT,-1,-2.555,1
2,7.771,1.74,ADULT,-1,-1.74,1
4,10.041,0.233,ADULT,-1,-0.233,1
6,14.937999999999999,1.92,ADULT,-1,-1.92,1
9,17.326,0.93,ADULT,-1,-0.93,1
11,18.563,0.8959999999999999,ADULT,-1,-0.8959999999999999,1
12,20.331,4.495,ADULT,-1,-4.495,1
16,25.491,3.205,ADULT,-1,-3.205,1
18,29.022,5.28,ADULT,-1,-5.28,1
20,34.12,0.287,ADULT,-1,-0.287,1
21,35.269,12.055,ADULT,-1,-12.055,1
27,48.391000000000005,2.119,ADULT,-1,-2.119,1
28,49.692,0.319,ADULT,-1,-0.319,1
29,51.72,0.8959999999999999,ADULT,-1,-0.8959999999999999,1
31,52.998000000000005,1.568,ADULT,-1,-1.568,1
33,55.51,2.9819999999999998,ADULT,-1,-2.9819999999999998,1
35,59.201,1.883,ADULT,-1,-1.883,1
38,62.463,9.283,ADULT,-1,-9.283,1
41,71.967,2.545,ADULT,-1,-2.545,1
42,75.197,12.754000000000001,ADULT,-1,-12.754000000000001,1
48,88.385,16.192,ADULT,-1,-16.192,1
52,102.176,0.835,ADULT,-1,-0.835,1
53,105.072,11.475,ADULT,-1,-11.475,1
57,117.13600000000001,8.357000000000001,ADULT,-1,-8.357000000000001,1
59,117.443,0.5479999999999999,ADULT,-1,-0.5479999999999999,1
61,126.01100000000001,0.7609999999999999,ADULT,-1,-0.7609999999999999,1
63,127.46,1.159,ADULT,-1,-1.159,1
64,128.01,0.521,ADULT,-1,-0.521,1
65,129.295,6.672000000000001,ADULT,-1,-6.672000000000001,1
68,136.88299999999998,6.129,ADULT,-1,-6.129,1
72,143.721,0.415,ADULT,-1,-0.415,1
74,144.31,0.253,ADULT,-1,-0.253,1
75,144.49200000000002,0.586,ADULT,-1,-0.586,1
76,145.01,10.517999999999999,ADULT,-1,-10.517999999999999,1
78,156.98,1.245,ADULT,-1,-1.245,1
80,158.915,0.575,ADULT,-1,-0.575,1
81,160.01,9.202,ADULT,-1,-9.202,1
84,166.49200000000002,0.7440000000000001,ADULT,-1,-0.7440000000000001,1
85,169.882,5.446000000000001,ADULT,-1,-5.446000000000001,1
87,176.12099999999998,14.104000000000001,ADULT,-1,-14.104000000000001,1
91,184.707,0.14800000000000002,ADULT,-1,-0.14800000000000002,1
92,184.99200000000002,0.727,ADULT,-1,-0.727,1
93,191.042,11.392000000000001,ADULT,-1,-11.392000000000001,1
97,203.479,0.532,ADULT,-1,-0.532,1
98,203.933,2.055,ADULT,-1,-2.055,1
99,205.511,4.382,CHILD,1,4.382,1
100,206.49400000000003,1.016,CHILD,1,1.016,1
101,207.644,1.1420000000000001,CHILD,1,1.1420000000000001,1
102,210.23,2.0980000000000003,ADULT,-1,-2.0980000000000003,1
104,211.88099999999997,0.361,ADULT,-1,-0.361,1
105,212.421,3.5839999999999996,CHILD,1,3.5839999999999996,1
106,213.295,0.884,CHILD,1,0.884,1
107,214.321,0.624,CHILD,1,0.624,1
108,216.01,2.71,ADULT,-1,-2.71,1
110,219.1,2.46,ADULT,-1,-2.46,1
113,222.542,0.545,ADULT,-1,-0.545,1
115,224.43400000000003,2.5580000000000003,CHILD,1,2.5580000000000003,1
116,224.993,1.5190000000000001,CHILD,1,1.5190000000000001,1
117,226.62599999999998,1.32,CHILD,1,1.32,1
118,227.15099999999998,0.305,CHILD,1,0.305,1
119,228.385,4.978,ADULT,-1,-4.978,1
123,233.36900000000003,0.6409999999999999,CHILD,1,0.6409999999999999,1
124,235.17700000000002,2.605,ADULT,-1,-2.605,1
127,237.99200000000002,0.552,CHILD,1,0.552,1
128,238.493,6.797000000000001,ADULT,-1,-6.797000000000001,1
132,247.511,10.203,ADULT,-1,-10.203,1
134,258.441,8.92,ADULT,-1,-8.92,1
137,267.06,0.268,ADULT,-1,-0.268,1
138,268.491,8.158999999999999,ADULT,-1,-8.158999999999999,1
142,277.01,10.437000000000001,ADULT,-1,-10.437000000000001,1
144,279.04200000000003,0.125,CHILD,1,0.125,1
149,288.961,8.336,ADULT,-1,-8.336,1
152,297.51099999999997,5.476,ADULT,-1,-5.476,1
155,303.845,0.857,ADULT,-1,-0.857,1
158,304.928,2.565,CHILD,1,2.565,1
159,305.205,0.28,CHILD,1,0.28,1
160,305.846,0.147,CHILD,1,0.147,1
161,307.01,1.5490000000000002,CHILD,1,1.5490000000000002,1
162,308.51,4.018,ADULT,-1,-4.018,1
164,314.577,2.43,ADULT,-1,-2.43,1
165,314.626,1.3030000000000002,ADULT,-1,-1.3030000000000002,1
167,317.589,1.088,ADULT,-1,-1.088,1
168,317.687,0.324,ADULT,-1,-0.324,1
169,319.012,1.195,ADULT,-1,-1.195,1
170,319.019,0.363,ADULT,-1,-0.363,1
171,320.617,6.871,ADULT,-1,-6.871,1
174,326.492,0.7859999999999999,ADULT,-1,-0.7859999999999999,1
175,328.99199999999996,2.003,ADULT,-1,-2.003,1
177,331.42199999999997,8.066,ADULT,-1,-8.066,1
178,331.99199999999996,1.001,ADULT,-1,-1.001,1
181,341.01199999999994,0.5,CHILD,1,0.5,1
182,341.515,3.9960000000000004,ADULT,-1,-3.9960000000000004,1
184,345.735,0.7759999999999999,CHILD,1,0.7759999999999999,1
185,347.51,10.289000000000001,ADULT,-1,-10.289000000000001,1
187,347.66900000000004,0.324,ADULT,-1,-0.324,1
188,355.49199999999996,1.08,ADULT,-1,-1.08,1
190,358.82800000000003,4.583,ADULT,-1,-4.583,1
192,364.517,0.11599999999999999,ADULT,-1,-0.11599999999999999,1
193,364.767,14.3,ADULT,-1,-14.3,1
195,371.454,0.9279999999999999,ADULT,-1,-0.9279999999999999,1
196,373.267,0.9570000000000001,ADULT,-1,-0.9570000000000001,1
197,376.01,1.514,ADULT,-1,-1.514,1
198,378.587,0.121,ADULT,-1,-0.121,1
200,379.24,0.653,CHILD,1,0.653,1
201,379.914,0.977,ADULT,-1,-0.977,1
203,381.99300000000005,0.83,CHILD,1,0.83,1
204,383.834,1.4340000000000002,ADULT,-1,-1.4340000000000002,1
206,387.01099999999997,2.0,ADULT,-1,-2.0,1
208,389.98,1.031,CHILD,1,1.031,1
209,390.01199999999994,0.138,CHILD,1,0.138,1
210,390.786,6.807,ADULT,-1,-6.807,1
211,397.67800000000005,1.564,CHILD,1,1.564,1
212,397.744,1.5219999999999998,CHILD,1,1.5219999999999998,1
213,399.264,1.794,ADULT,-1,-1.794,1
215,401.30400000000003,0.6559999999999999,CHILD,1,0.6559999999999999,1
216,401.959,1.5190000000000001,ADULT,-1,-1.5190000000000001,1
217,403.579,0.6920000000000001,CHILD,1,0.6920000000000001,1
218,403.584,0.9259999999999999,CHILD,1,0.9259999999999999,1
219,404.49199999999996,9.089,ADULT,-1,-9.089,1
221,414.98699999999997,3.505,ADULT,-1,-3.505,1
222,414.99199999999996,1.554,ADULT,-1,-1.554,1
223,417.58,0.327,ADULT,-1,-0.327,1
224,418.99300000000005,2.661,ADULT,-1,-2.661,1
225,419.19,0.17,ADULT,-1,-0.17,1
226,419.85699999999997,0.45399999999999996,ADULT,-1,-0.45399999999999996,1
227,421.824,23.666999999999998,ADULT,-1,-23.666999999999998,1
228,422.444,1.92,ADULT,-1,-1.92,1
230,439.49300000000005,0.35600000000000004,ADULT,-1,-0.35600000000000004,1
231,440.027,0.965,ADULT,-1,-0.965,1
232,445.483,1.028,ADULT,-1,-1.028,1
233,445.99300000000005,2.707,ADULT,-1,-2.707,1
234,446.845,0.147,ADULT,-1,-0.147,1
235,448.642,0.106,ADULT,-1,-0.106,1
237,453.541,0.11800000000000001,ADULT,-1,-0.11800000000000001,1
238,454.01199999999994,0.115,ADULT,-1,-0.115,1
239,454.99199999999996,2.877,ADULT,-1,-2.877,1
241,456.668,2.035,ADULT,-1,-2.035,1
242,459.324,2.6630000000000003,ADULT,-1,-2.6630000000000003,1
244,461.51099999999997,0.39799999999999996,ADULT,-1,-0.39799999999999996,1
245,462.1,0.7070000000000001,CHILD,1,0.7070000000000001,1
246,462.99300000000005,7.148,ADULT,-1,-7.148,1
249,466.51099999999997,1.3840000000000001,ADULT,-1,-1.3840000000000001,1
250,470.94599999999997,1.642,ADULT,-1,-1.642,1
252,473.582,2.908,ADULT,-1,-2.908,1
256,479.99300000000005,0.5,ADULT,-1,-0.5,1
257,480.14599999999996,0.11800000000000001,ADULT,-1,-0.11800000000000001,1
258,480.425,0.69,ADULT,-1,-0.69,1
259,482.745,5.267,ADULT,-1,-5.267,1
262,488.314,3.679,ADULT,-1,-3.679,1
263,492.29900000000004,5.685,ADULT,-1,-5.685,1
265,499.417,3.073,ADULT,-1,-3.073,1
267,504.01199999999994,7.007999999999999,ADULT,-1,-7.007999999999999,1
270,512.011,3.471,ADULT,-1,-3.471,1
273,515.6709999999999,0.82,CHILD,1,0.82,1
274,515.729,0.8220000000000001,CHILD,1,0.8220000000000001,1
276,517.045,0.7090000000000001,CHILD,1,0.7090000000000001,1
277,517.156,0.56,CHILD,1,0.56,1
278,517.566,4.821000000000001,ADULT,-1,-4.821000000000001,1
280,524.168,0.326,ADULT,-1,-0.326,1
282,525.288,0.115,ADULT,-1,-0.115,1
283,526.011,5.086,ADULT,-1,-5.086,1
286,530.589,0.10800000000000001,ADULT,-1,-0.10800000000000001,1
287,530.847,1.146,ADULT,-1,-1.146,1
288,531.252,0.24,ADULT,-1,-0.24,1
290,532.629,0.255,CHILD,1,0.255,1
291,532.67,0.322,CHILD,1,0.322,1
292,532.776,1.137,ADULT,-1,-1.137,1
293,533.93,0.768,CHILD,1,0.768,1
295,536.237,2.693,CHILD,1,2.693,1
296,536.51,2.173,CHILD,1,2.173,1
297,539.394,1.617,CHILD,1,1.617,1
298,540.01,1.406,CHILD,1,1.406,1
300,541.7769999999999,2.234,CHILD,1,2.234,1
301,541.839,0.67,CHILD,1,0.67,1
302,543.512,0.24,CHILD,1,0.24,1
303,544.091,1.7630000000000001,ADULT,-1,-1.7630000000000001,1
305,546.202,2.086,CHILD,1,2.086,1
306,546.947,1.215,CHILD,1,1.215,1
