,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,1.51,6.981,ADULT,-1,-6.981,1
2,8.254,11.068,ADULT,-1,-11.068,1
3,17.619,0.121,ADULT,-1,-0.121,1
4,17.987000000000002,0.316,ADULT,-1,-0.316,1
5,18.492,5.311,ADULT,-1,-5.311,1
6,25.1,1.261,ADULT,-1,-1.261,1
7,27.01,6.482,ADULT,-1,-6.482,1
9,34.174,0.337,CHILD,1,0.337,1
10,34.857,0.145,CHILD,1,0.145,1
11,35.010999999999996,1.9169999999999998,ADULT,-1,-1.9169999999999998,1
12,35.345,0.299,CHILD,1,0.299,1
13,43.011,5.476,ADULT,-1,-5.476,1
15,47.258,1.272,ADULT,-1,-1.272,1
17,51.346000000000004,1.8980000000000001,CHILD,1,1.8980000000000001,1
18,51.692,0.82,ADULT,-1,-0.82,1
19,53.801,2.6919999999999997,ADULT,-1,-2.6919999999999997,1
22,59.493,3.117,ADULT,-1,-3.117,1
23,61.736000000000004,0.648,ADULT,-1,-0.648,1
24,63.011,2.479,ADULT,-1,-2.479,1
26,64.51100000000001,1.5,ADULT,-1,-1.5,1
27,66.012,2.452,ADULT,-1,-2.452,1
28,67.993,4.499,ADULT,-1,-4.499,1
29,71.51100000000001,2.87,ADULT,-1,-2.87,1
30,73.992,11.019,ADULT,-1,-11.019,1
31,75.492,1.0190000000000001,CHILD,1,1.0190000000000001,1
32,84.51299999999999,10.005,ADULT,-1,-10.005,1
33,86.493,0.402,CHILD,1,0.402,1
34,93.493,0.9279999999999999,ADULT,-1,-0.9279999999999999,1
35,94.67,1.32,ADULT,-1,-1.32,1
36,95.641,5.957000000000001,ADULT,-1,-5.957000000000001,1
37,98.375,0.142,ADULT,-1,-0.142,1
38,99.149,0.184,ADULT,-1,-0.184,1
39,100.055,0.557,ADULT,-1,-0.557,1
40,102.04299999999999,4.717,ADULT,-1,-4.717,1
42,108.67299999999999,0.191,ADULT,-1,-0.191,1
