,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,0.9209999999999999,3.9619999999999997,ADULT,-1,-3.9619999999999997,1
3,9.242,4.75,CHILD,1,4.75,1
4,12.992,14.501,ADULT,-1,-14.501,1
5,13.272,1.92,CHILD,1,1.92,1
6,19.951,0.10300000000000001,ADULT,-1,-0.10300000000000001,1
7,26.991999999999997,1.5390000000000001,CHILD,1,1.5390000000000001,1
8,27.763,1.466,CHILD,1,1.466,1
9,28.51,14.729000000000001,ADULT,-1,-14.729000000000001,1
10,44.511,7.98,ADULT,-1,-7.98,1
13,53.181999999999995,2.827,CHILD,1,2.827,1
14,54.992,0.305,CHILD,1,0.305,1
15,55.132,0.289,ADULT,-1,-0.289,1
16,55.446000000000005,1.337,CHILD,1,1.337,1
17,56.108000000000004,2.403,ADULT,-1,-2.403,1
18,58.011,2.8369999999999997,CHILD,1,2.8369999999999997,1
19,58.62,0.128,ADULT,-1,-0.128,1
20,58.992,2.877,CHILD,1,2.877,1
21,61.351000000000006,0.11800000000000001,ADULT,-1,-0.11800000000000001,1
23,62.581,3.307,ADULT,-1,-3.307,1
24,64.916,0.9670000000000001,CHILD,1,0.9670000000000001,1
25,66.012,2.489,ADULT,-1,-2.489,1
26,67.976,1.473,CHILD,1,1.473,1
27,69.027,1.736,ADULT,-1,-1.736,1
29,71.41199999999999,4.582,ADULT,-1,-4.582,1
30,78.638,2.855,CHILD,1,2.855,1
32,80.992,2.825,CHILD,1,2.825,1
33,81.653,0.8740000000000001,CHILD,1,0.8740000000000001,1
34,83.012,4.44,ADULT,-1,-4.44,1
35,83.695,0.7609999999999999,CHILD,1,0.7609999999999999,1
36,87.492,2.025,CHILD,1,2.025,1
37,88.99,2.125,ADULT,-1,-2.125,1
38,89.741,0.16699999999999998,CHILD,1,0.16699999999999998,1
39,90.992,0.899,CHILD,1,0.899,1
40,91.419,1.7530000000000001,ADULT,-1,-1.7530000000000001,1
41,91.992,2.0180000000000002,CHILD,1,2.0180000000000002,1
42,93.329,0.682,ADULT,-1,-0.682,1
44,97.492,12.248,ADULT,-1,-12.248,1
46,112.625,0.79,CHILD,1,0.79,1
47,112.676,1.171,ADULT,-1,-1.171,1
48,112.712,0.28,CHILD,1,0.28,1
49,113.105,0.687,CHILD,1,0.687,1
51,114.29799999999999,0.7240000000000001,CHILD,1,0.7240000000000001,1
52,114.51,0.39299999999999996,CHILD,1,0.39299999999999996,1
53,115.061,1.4580000000000002,CHILD,1,1.4580000000000002,1
54,115.21700000000001,0.275,CHILD,1,0.275,1
55,115.68799999999999,1.804,ADULT,-1,-1.804,1
57,117.99799999999999,1.9040000000000001,CHILD,1,1.9040000000000001,1
58,119.149,1.531,CHILD,1,1.531,1
59,119.991,1.831,ADULT,-1,-1.831,1
60,121.51,2.001,CHILD,1,2.001,1
61,122.821,9.172,ADULT,-1,-9.172,1
62,125.057,1.421,CHILD,1,1.421,1
63,127.54799999999999,0.191,CHILD,1,0.191,1
64,129.82299999999998,1.25,CHILD,1,1.25,1
65,129.89,0.152,CHILD,1,0.152,1
66,131.92,2.045,CHILD,1,2.045,1
67,132.705,1.33,ADULT,-1,-1.33,1
68,134.28799999999998,0.743,CHILD,1,0.743,1
69,134.511,0.516,CHILD,1,0.516,1
70,135.493,0.5,CHILD,1,0.5,1
71,135.515,1.272,CHILD,1,1.272,1
72,135.543,2.449,ADULT,-1,-2.449,1
73,137.68,1.831,CHILD,1,1.831,1
74,138.993,0.785,ADULT,-1,-0.785,1
76,140.99200000000002,11.043,ADULT,-1,-11.043,1
78,156.894,1.4240000000000002,CHILD,1,1.4240000000000002,1
79,156.91899999999998,1.286,CHILD,1,1.286,1
80,158.282,0.96,ADULT,-1,-0.96,1
81,159.364,2.276,CHILD,1,2.276,1
83,164.17,2.822,ADULT,-1,-2.822,1
85,168.215,1.296,CHILD,1,1.296,1
86,168.468,1.493,CHILD,1,1.493,1
87,169.498,4.494,ADULT,-1,-4.494,1
88,173.59,0.9590000000000001,CHILD,1,0.9590000000000001,1
89,176.34900000000002,15.265,ADULT,-1,-15.265,1
92,194.842,1.37,CHILD,1,1.37,1
93,194.99200000000002,0.16699999999999998,CHILD,1,0.16699999999999998,1
95,196.771,0.7559999999999999,ADULT,-1,-0.7559999999999999,1
96,197.463,6.426,CHILD,1,6.426,1
97,197.76,0.19399999999999998,ADULT,-1,-0.19399999999999998,1
98,199.01,0.7390000000000001,CHILD,1,0.7390000000000001,1
99,199.928,1.063,CHILD,1,1.063,1
100,200.28599999999997,0.32899999999999996,ADULT,-1,-0.32899999999999996,1
101,202.929,2.224,CHILD,1,2.224,1
102,203.90400000000002,0.262,ADULT,-1,-0.262,1
103,204.078,1.1420000000000001,CHILD,1,1.1420000000000001,1
104,205.011,0.175,ADULT,-1,-0.175,1
106,205.674,0.64,ADULT,-1,-0.64,1
107,205.755,0.5479999999999999,CHILD,1,0.5479999999999999,1
108,206.493,2.484,CHILD,1,2.484,1
109,206.666,2.2680000000000002,CHILD,1,2.2680000000000002,1
110,207.73,0.6729999999999999,ADULT,-1,-0.6729999999999999,1
111,209.021,1.0659999999999998,ADULT,-1,-1.0659999999999998,1
112,209.80900000000003,0.20199999999999999,CHILD,1,0.20199999999999999,1
114,211.493,0.55,CHILD,1,0.55,1
115,211.493,0.9309999999999999,CHILD,1,0.9309999999999999,1
116,212.011,0.575,ADULT,-1,-0.575,1
117,212.963,2.03,ADULT,-1,-2.03,1
118,214.515,1.321,CHILD,1,1.321,1
119,214.993,0.835,CHILD,1,0.835,1
120,215.305,0.187,ADULT,-1,-0.187,1
121,216.21900000000002,1.291,CHILD,1,1.291,1
122,216.22099999999998,1.77,CHILD,1,1.77,1
123,217.51,2.165,ADULT,-1,-2.165,1
124,218.99200000000002,0.611,CHILD,1,0.611,1
125,219.908,1.585,ADULT,-1,-1.585,1
126,220.185,0.203,CHILD,1,0.203,1
127,220.49200000000002,2.0180000000000002,CHILD,1,2.0180000000000002,1
128,221.75799999999998,0.253,CHILD,1,0.253,1
129,221.829,0.133,ADULT,-1,-0.133,1
130,223.157,12.569,ADULT,-1,-12.569,1
131,233.50400000000002,1.08,ADULT,-1,-1.08,1
132,243.01,15.0,ADULT,-1,-15.0,1
134,247.511,1.831,ADULT,-1,-1.831,1
135,254.75,0.7859999999999999,ADULT,-1,-0.7859999999999999,1
137,263.23,10.571,ADULT,-1,-10.571,1
138,272.013,0.16699999999999998,ADULT,-1,-0.16699999999999998,1
140,277.032,0.599,CHILD,1,0.599,1
142,277.903,2.185,CHILD,1,2.185,1
143,277.93,1.806,CHILD,1,1.806,1
144,279.01099999999997,0.469,ADULT,-1,-0.469,1
145,280.01,1.868,ADULT,-1,-1.868,1
146,282.012,2.6289999999999996,CHILD,1,2.6289999999999996,1
147,282.341,0.493,CHILD,1,0.493,1
148,283.51,0.263,CHILD,1,0.263,1
149,283.993,0.5589999999999999,CHILD,1,0.5589999999999999,1
151,284.992,5.311,ADULT,-1,-5.311,1
152,289.106,0.105,CHILD,1,0.105,1
153,290.825,5.186,ADULT,-1,-5.186,1
154,292.493,0.149,CHILD,1,0.149,1
155,293.414,0.579,CHILD,1,0.579,1
157,297.408,9.777000000000001,ADULT,-1,-9.777000000000001,1
158,303.89,0.253,ADULT,-1,-0.253,1
160,309.476,1.374,ADULT,-1,-1.374,1
161,310.51,0.289,CHILD,1,0.289,1
162,310.638,0.16399999999999998,CHILD,1,0.16399999999999998,1
163,311.052,0.888,CHILD,1,0.888,1
164,311.11400000000003,0.397,CHILD,1,0.397,1
165,311.39099999999996,1.1740000000000002,ADULT,-1,-1.1740000000000002,1
167,315.039,0.953,ADULT,-1,-0.953,1
168,315.065,1.8219999999999998,CHILD,1,1.8219999999999998,1
169,316.68,0.33399999999999996,ADULT,-1,-0.33399999999999996,1
170,316.992,1.0190000000000001,CHILD,1,1.0190000000000001,1
171,316.992,1.072,CHILD,1,1.072,1
172,318.742,3.464,ADULT,-1,-3.464,1
173,318.808,0.213,CHILD,1,0.213,1
174,319.51099999999997,0.121,CHILD,1,0.121,1
175,322.512,1.8019999999999998,ADULT,-1,-1.8019999999999998,1
176,323.992,1.9569999999999999,CHILD,1,1.9569999999999999,1
177,326.163,0.8290000000000001,ADULT,-1,-0.8290000000000001,1
178,327.512,7.98,ADULT,-1,-7.98,1
181,338.99199999999996,0.312,CHILD,1,0.312,1
182,339.01,1.038,CHILD,1,1.038,1
183,339.314,0.6970000000000001,ADULT,-1,-0.6970000000000001,1
184,339.99199999999996,1.6280000000000001,CHILD,1,1.6280000000000001,1
185,340.14099999999996,0.40700000000000003,ADULT,-1,-0.40700000000000003,1
186,340.666,0.975,CHILD,1,0.975,1
187,341.925,1.262,CHILD,1,1.262,1
188,342.01099999999997,0.48100000000000004,ADULT,-1,-0.48100000000000004,1
189,342.53,0.78,CHILD,1,0.78,1
190,343.01300000000003,0.115,ADULT,-1,-0.115,1
191,343.49199999999996,1.625,ADULT,-1,-1.625,1
192,343.51099999999997,0.638,CHILD,1,0.638,1
193,345.31300000000005,1.912,CHILD,1,1.912,1
194,345.31800000000004,0.884,CHILD,1,0.884,1
195,346.051,2.0909999999999997,ADULT,-1,-2.0909999999999997,1
196,349.009,4.502,CHILD,1,4.502,1
197,349.491,0.201,ADULT,-1,-0.201,1
198,350.51099999999997,0.152,CHILD,1,0.152,1
199,350.668,0.825,ADULT,-1,-0.825,1
200,351.265,0.746,CHILD,1,0.746,1
201,352.33,2.182,CHILD,1,2.182,1
203,355.24199999999996,0.268,CHILD,1,0.268,1
204,355.99199999999996,2.037,ADULT,-1,-2.037,1
205,356.103,0.40299999999999997,CHILD,1,0.40299999999999997,1
206,357.875,2.1180000000000003,CHILD,1,2.1180000000000003,1
207,360.148,1.527,CHILD,1,1.527,1
208,360.17199999999997,3.34,CHILD,1,3.34,1
209,360.543,0.42,ADULT,-1,-0.42,1
210,363.01199999999994,2.627,ADULT,-1,-2.627,1
211,365.92400000000004,1.2670000000000001,CHILD,1,1.2670000000000001,1
212,365.99199999999996,2.0,CHILD,1,2.0,1
213,367.858,1.063,ADULT,-1,-1.063,1
215,369.50699999999995,15.1,ADULT,-1,-15.1,1
216,385.069,0.9790000000000001,ADULT,-1,-0.9790000000000001,1
217,385.15,1.671,CHILD,1,1.671,1
218,386.49199999999996,0.324,CHILD,1,0.324,1
219,387.055,1.525,CHILD,1,1.525,1
220,387.091,1.8659999999999999,ADULT,-1,-1.8659999999999999,1
222,389.13599999999997,1.357,CHILD,1,1.357,1
223,390.079,4.868,ADULT,-1,-4.868,1
224,392.086,0.395,CHILD,1,0.395,1
225,395.25300000000004,0.894,CHILD,1,0.894,1
226,395.287,2.0540000000000003,CHILD,1,2.0540000000000003,1
227,396.67400000000004,0.7070000000000001,CHILD,1,0.7070000000000001,1
229,399.37699999999995,1.7469999999999999,CHILD,1,1.7469999999999999,1
230,399.49199999999996,0.442,CHILD,1,0.442,1
232,402.509,6.968,ADULT,-1,-6.968,1
234,412.211,2.781,CHILD,1,2.781,1
235,412.806,1.4380000000000002,CHILD,1,1.4380000000000002,1
236,414.51099999999997,2.9819999999999998,ADULT,-1,-2.9819999999999998,1
237,414.523,0.18100000000000002,CHILD,1,0.18100000000000002,1
238,415.30699999999996,0.18600000000000003,CHILD,1,0.18600000000000003,1
239,416.991,0.851,CHILD,1,0.851,1
240,417.89300000000003,2.6489999999999996,ADULT,-1,-2.6489999999999996,1
241,417.99199999999996,1.001,CHILD,1,1.001,1
242,420.92699999999996,2.084,ADULT,-1,-2.084,1
243,420.99199999999996,0.5,CHILD,1,0.5,1
244,422.51099999999997,1.4140000000000001,CHILD,1,1.4140000000000001,1
245,423.215,0.607,ADULT,-1,-0.607,1
247,424.735,4.276,ADULT,-1,-4.276,1
248,430.334,12.774000000000001,ADULT,-1,-12.774000000000001,1
250,445.67400000000004,10.319,ADULT,-1,-10.319,1
253,459.467,1.063,CHILD,1,1.063,1
255,461.14099999999996,4.934,CHILD,1,4.934,1
256,463.51099999999997,0.20199999999999999,CHILD,1,0.20199999999999999,1
257,464.49300000000005,4.671,CHILD,1,4.671,1
258,466.01199999999994,0.506,ADULT,-1,-0.506,1
259,466.91900000000004,1.073,CHILD,1,1.073,1
260,468.49199999999996,0.655,ADULT,-1,-0.655,1
261,469.97900000000004,1.228,CHILD,1,1.228,1
262,469.99199999999996,1.5,ADULT,-1,-1.5,1
263,470.532,1.048,CHILD,1,1.048,1
264,471.81800000000004,3.174,CHILD,1,3.174,1
265,474.468,0.7140000000000001,CHILD,1,0.7140000000000001,1
266,474.82199999999995,1.19,ADULT,-1,-1.19,1
267,476.722,8.048,ADULT,-1,-8.048,1
268,477.01099999999997,0.516,CHILD,1,0.516,1
270,486.01,5.579,ADULT,-1,-5.579,1
272,497.519,10.309000000000001,ADULT,-1,-10.309000000000001,1
