LABEL,START,DUR,FINISH,DUR_TRANS,LABEL_NUM,COUNT
CHILD,0.01,4.481,4.491,4.481,1,1
ADULT,4.01,1.548,5.558,-1.548,-1,1
CHILD,5.81,15.709,21.519,15.709,1,1
ADULT,21.3,2.895,24.195,-2.895,-1,1
CHILD,25.5,5.983,31.483,5.983,1,1
ADULT,30.4,1.965,32.365,-1.965,-1,1
CHILD,32.9,1.831,34.731,1.831,1,1
ADULT,34.8,1.166,35.966,-1.166,-1,1
CHILD,35,1.007,36.007,1.007,1,1
ADULT,37.4,5.384,42.784,-5.384,-1,1
CHILD,45.4,1.235,46.635,1.235,1,1
ADULT,45.7,1.428,47.128,-1.428,-1,1
CHILD,48.1,1.461,49.561,1.461,1,1
ADULT,52.2,10.863,63.063,-10.863,-1,1
CHILD,63.3,1.594,64.894,1.594,1,1
ADULT,63.5,5.977,69.477,-5.977,-1,1
CHILD,68.1,1.811,69.911,1.811,1,1
ADULT,69.9,1.183,71.083,-1.183,-1,1
CHILD,71.9,1.273,73.173,1.273,1,1
ADULT,72.3,7.183,79.483,-7.183,-1,1
CHILD,78.5,1.267,79.767,1.267,1,1
ADULT,80,4.139,84.139,-4.139,-1,1
CHILD,86.6,1.15,87.75,1.15,1,1
ADULT,89.9,1.217,91.117,-1.217,-1,1
CHILD,92.5,1.109,93.609,1.109,1,1
ADULT,94.7,1.609,96.309,-1.609,-1,1
CHILD,95.9,1.48,97.38,1.48,1,1
ADULT,97.5,1.036,98.536,-1.036,-1,1
CHILD,98.9,1.434,100.334,1.434,1,1
ADULT,100,1.515,101.515,-1.515,-1,1
CHILD,100,3.737,103.737,3.737,1,1
ADULT,103,1.911,104.911,-1.911,-1,1
CHILD,106,7.24,113.24,7.24,1,1
ADULT,113,1.82,114.82,-1.82,-1,1
CHILD,117,3.028,120.028,3.028,1,1
ADULT,124,1.881,125.881,-1.881,-1,1
CHILD,127,6.338,133.338,6.338,1,1
ADULT,134,1.321,135.321,-1.321,-1,1
CHILD,134,1.422,135.422,1.422,1,1
ADULT,135,1.154,136.154,-1.154,-1,1
CHILD,157,6.377,163.377,6.377,1,1
ADULT,167,1.661,168.661,-1.661,-1,1
CHILD,169,8.877,177.877,8.877,1,1
ADULT,178,1.601,179.601,-1.601,-1,1
CHILD,179,1.284,180.284,1.284,1,1
ADULT,185,6.869,191.869,-6.869,-1,1
CHILD,191,1.157,192.157,1.157,1,1
ADULT,192,9.94,201.94,-9.94,-1,1
CHILD,201,22.697,223.697,22.697,1,1
ADULT,225,4.359,229.359,-4.359,-1,1
CHILD,229,5.188,234.188,5.188,1,1
ADULT,236,4.845,240.845,-4.845,-1,1
CHILD,241,1.45,242.45,1.45,1,1
ADULT,244,3.008,247.008,-3.008,-1,1
CHILD,247,1.028,248.028,1.028,1,1
ADULT,248,1.512,249.512,-1.512,-1,1
CHILD,251,1.668,252.668,1.668,1,1
ADULT,252,1.47,253.47,-1.47,-1,1
CHILD,253,2.41,255.41,2.41,1,1
ADULT,255,1.418,256.418,-1.418,-1,1
CHILD,258,1.264,259.264,1.264,1,1
ADULT,261,5.829,266.829,-5.829,-1,1
CHILD,266,1.966,267.966,1.966,1,1
ADULT,270,1.225,271.225,-1.225,-1,1
CHILD,273,5.431,278.431,5.431,1,1
ADULT,281,1.139,282.139,-1.139,-1,1
CHILD,281,1.048,282.048,1.048,1,1
ADULT,283,1.434,284.434,-1.434,-1,1
CHILD,290,1.463,291.463,1.463,1,1
ADULT,291,1.694,292.694,-1.694,-1,1
CHILD,292,4.943,296.943,4.943,1,1
ADULT,296,1.446,297.446,-1.446,-1,1
CHILD,298,1.171,299.171,1.171,1,1
ADULT,299,1.452,300.452,-1.452,-1,1
CHILD,299,1.319,300.319,1.319,1,1
