,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,0.01,0.501,CHILD,1,0.501,1
1,0.01,1.66,CHILD,1,1.66,1
3,2.805,0.662,CHILD,1,0.662,1
4,3.011,0.216,CHILD,1,0.216,1
5,3.512,2.98,CHILD,1,2.98,1
6,4.187,0.324,ADULT,-1,-0.324,1
7,6.505,1.343,ADULT,-1,-1.343,1
8,6.841,0.839,CHILD,1,0.839,1
10,9.401,0.292,CHILD,1,0.292,1
12,10.771,2.221,CHILD,1,2.221,1
13,10.798,1.642,CHILD,1,1.642,1
15,20.577,0.898,CHILD,1,0.898,1
17,30.132,0.861,CHILD,1,0.861,1
19,41.511,3.481,ADULT,-1,-3.481,1
20,41.561,0.837,ADULT,-1,-0.837,1
21,47.574,0.194,CHILD,1,0.194,1
22,55.461,0.96,CHILD,1,0.96,1
24,59.685,1.807,CHILD,1,1.807,1
26,68.992,1.721,ADULT,-1,-1.721,1
28,70.08,0.111,ADULT,-1,-0.111,1
31,80.534,0.655,CHILD,1,0.655,1
32,81.457,0.553,CHILD,1,0.553,1
33,81.493,1.519,ADULT,-1,-1.519,1
36,85.492,0.311,CHILD,1,0.311,1
39,87.188,8.147,CHILD,1,8.147,1
40,88.992,1.019,CHILD,1,1.019,1
42,96.766,8.613,CHILD,1,8.613,1
43,96.869,1.87,CHILD,1,1.87,1
44,98.844,0.148,CHILD,1,0.148,1
46,103.493,1.846,CHILD,1,1.846,1
47,106.01,3.5,CHILD,1,3.5,1
50,109.088,4.423,ADULT,-1,-4.423,1
51,113.01,0.839,CHILD,1,0.839,1
52,113.763,0.14,ADULT,-1,-0.14,1
54,115.992,2.003,CHILD,1,2.003,1
55,119.011,3.009,ADULT,-1,-3.009,1
57,121.492,6.519,CHILD,1,6.519,1
58,126.51,0.81,ADULT,-1,-0.81,1
59,127.496,0.39,ADULT,-1,-0.39,1
60,128.557,0.953,ADULT,-1,-0.953,1
61,128.793,1.218,CHILD,1,1.218,1
62,131.011,7.501,ADULT,-1,-7.501,1
64,138.086,4.074,CHILD,1,4.074,1
65,138.74,0.272,CHILD,1,0.272,1
66,139.492,2.195,ADULT,-1,-2.195,1
67,141.791,0.221,ADULT,-1,-0.221,1
68,142.493,6.519,CHILD,1,6.519,1
69,149.126,1.279,CHILD,1,1.279,1
70,150.977,0.766,CHILD,1,0.766,1
71,151.877,4.199,CHILD,1,4.199,1
72,151.936,1.556,ADULT,-1,-1.556,1
74,156.674,0.96,CHILD,1,0.96,1
75,156.924,0.344,ADULT,-1,-0.344,1
76,158.492,1.5,CHILD,1,1.5,1
78,160.01,5.508,ADULT,-1,-5.508,1
80,167.493,4.053,CHILD,1,4.053,1
81,169.597,0.101,ADULT,-1,-0.101,1
82,171.818,0.174,CHILD,1,0.174,1
83,172.493,1.497,ADULT,-1,-1.497,1
85,175.993,0.155,CHILD,1,0.155,1
86,176.531,0.818,CHILD,1,0.818,1
87,176.59,0.921,ADULT,-1,-0.921,1
88,177.834,6.158,ADULT,-1,-6.158,1
89,183.877,1.115,CHILD,1,1.115,1
91,188.992,1.001,CHILD,1,1.001,1
92,189.3,0.582,CHILD,1,0.582,1
93,190.178,13.333,CHILD,1,13.333,1
94,190.223,2.268,CHILD,1,2.268,1
95,192.839,0.817,ADULT,-1,-0.817,1
96,193.993,0.211,ADULT,-1,-0.211,1
97,194.564,0.579,ADULT,-1,-0.579,1
98,195.276,1.414,ADULT,-1,-1.414,1
99,197.076,0.366,CHILD,1,0.366,1
100,197.993,0.552,CHILD,1,0.552,1
101,198.958,1.387,CHILD,1,1.387,1
102,202.471,0.542,ADULT,-1,-0.542,1
103,203.318,2.693,ADULT,-1,-2.693,1
104,206.012,3.682,CHILD,1,3.682,1
105,210.862,0.15,CHILD,1,0.15,1
106,211.429,1.564,CHILD,1,1.564,1
107,214.01,2.98,ADULT,-1,-2.98,1
109,217.51,5.481,ADULT,-1,-5.481,1
110,222.492,1.519,ADULT,-1,-1.519,1
111,223.493,0.418,CHILD,1,0.418,1
112,224.492,0.503,CHILD,1,0.503,1
113,224.556,5.955,ADULT,-1,-5.955,1
116,230.675,2.411,CHILD,1,2.411,1
117,234.169,4.325,CHILD,1,4.325,1
119,238.078,2.433,ADULT,-1,-2.433,1
120,240.427,1.085,ADULT,-1,-1.085,1
121,241.64,0.253,ADULT,-1,-0.253,1
122,241.993,2.499,ADULT,-1,-2.499,1
125,244.713,0.113,CHILD,1,0.113,1
126,244.715,2.195,ADULT,-1,-2.195,1
127,244.991,0.321,CHILD,1,0.321,1
128,245.492,0.518,CHILD,1,0.518,1
129,246.51,2.248,CHILD,1,2.248,1
131,249.51,0.378,CHILD,1,0.378,1
133,250.992,6.5,CHILD,1,6.5,1
134,253.976,1.132,ADULT,-1,-1.132,1
135,255.908,0.584,CHILD,1,0.584,1
136,256.508,1.983,ADULT,-1,-1.983,1
137,258.193,12.8,ADULT,-1,-12.8,1
138,258.221,0.105,CHILD,1,0.105,1
139,272.012,12.499,ADULT,-1,-12.499,1
142,284.577,0.164,CHILD,1,0.164,1
143,285.491,4.519,ADULT,-1,-4.519,1
145,289.511,0.842,CHILD,1,0.842,1
147,291.268,1.244,CHILD,1,1.244,1
148,293.011,10.478,ADULT,-1,-10.478,1
150,303.011,0.407,ADULT,-1,-0.407,1
152,305.22,1.114,ADULT,-1,-1.114,1
153,305.5,4.511,ADULT,-1,-4.511,1
155,313.473,0.518,ADULT,-1,-0.518,1
156,313.484,2.339,CHILD,1,2.339,1
157,314.093,0.23,ADULT,-1,-0.23,1
158,316.011,2.98,ADULT,-1,-2.98,1
160,319.012,0.337,CHILD,1,0.337,1
161,319.707,0.307,CHILD,1,0.307,1
162,321.172,2.442,ADULT,-1,-2.442,1
165,332.363,0.648,ADULT,-1,-0.648,1
166,332.77,0.12,CHILD,1,0.12,1
168,334.429,1.234,CHILD,1,1.234,1
169,334.442,1.068,CHILD,1,1.068,1
171,337.09,2.062,CHILD,1,2.062,1
172,337.277,1.733,ADULT,-1,-1.733,1
173,338.732,2.759,ADULT,-1,-2.759,1
175,342.066,0.218,CHILD,1,0.218,1
176,344.491,7.001,ADULT,-1,-7.001,1
178,351.493,1.018,ADULT,-1,-1.018,1
179,352.51,3.983,ADULT,-1,-3.983,1
184,370.82,2.265,CHILD,1,2.265,1
186,374.848,1.139,CHILD,1,1.139,1
188,377.03,0.481,ADULT,-1,-0.481,1
189,377.077,0.953,CHILD,1,0.953,1
191,389.51,3.488,ADULT,-1,-3.488,1
192,390.204,0.807,ADULT,-1,-0.807,1
194,395.464,0.613,ADULT,-1,-0.613,1
195,395.577,0.265,ADULT,-1,-0.265,1
196,395.95,2.292,ADULT,-1,-2.292,1
197,397.546,0.373,ADULT,-1,-0.373,1
198,398.095,3.397,ADULT,-1,-3.397,1
200,547.493,3.5,ADULT,-1,-3.5,1
202,550.992,1.519,CHILD,1,1.519,1
203,551.991,1.019,CHILD,1,1.019,1
204,554.511,2.722,CHILD,1,2.722,1
205,556.786,1.725,ADULT,-1,-1.725,1
206,558.011,1.001,CHILD,1,1.001,1
208,560.245,0.17,CHILD,1,0.17,1
210,561.492,2.501,CHILD,1,2.501,1
212,565.522,0.378,ADULT,-1,-0.378,1
214,572.187,1.331,ADULT,-1,-1.331,1
215,587.137,0.668,CHILD,1,0.668,1
216,593.222,0.769,CHILD,1,0.769,1
217,607.952,0.896,CHILD,1,0.896,1
219,624.993,8.365,ADULT,-1,-8.365,1
221,632.492,0.474,ADULT,-1,-0.474,1
222,638.012,1.09,ADULT,-1,-1.09,1
224,640.511,6.482,ADULT,-1,-6.482,1
227,649.507,2.985,ADULT,-1,-2.985,1
230,657.07,0.422,ADULT,-1,-0.422,1
