,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,0.040999999999999995,0.289,CHILD,1,0.289,1
1,11.148,1.5490000000000002,CHILD,1,1.5490000000000002,1
3,13.492,3.827,CHILD,1,3.827,1
5,20.183,0.132,CHILD,1,0.132,1
6,20.993000000000002,2.255,CHILD,1,2.255,1
9,24.221,3.772,CHILD,1,3.772,1
12,35.333,1.178,CHILD,1,1.178,1
14,37.992,1.141,CHILD,1,1.141,1
15,39.413000000000004,0.349,CHILD,1,0.349,1
17,43.489,3.52,ADULT,-1,-3.52,1
18,47.191,0.174,CHILD,1,0.174,1
19,47.775,0.48100000000000004,CHILD,1,0.48100000000000004,1
21,48.492,1.821,CHILD,1,1.821,1
22,50.492,2.02,ADULT,-1,-2.02,1
24,55.51,0.353,ADULT,-1,-0.353,1
25,55.99100000000001,2.519,ADULT,-1,-2.519,1
26,58.011,0.6970000000000001,CHILD,1,0.6970000000000001,1
28,65.492,1.0290000000000001,ADULT,-1,-1.0290000000000001,1
29,66.012,0.591,CHILD,1,0.591,1
30,67.753,0.24,CHILD,1,0.24,1
32,72.62,1.2930000000000001,CHILD,1,1.2930000000000001,1
33,74.512,0.48100000000000004,CHILD,1,0.48100000000000004,1
36,75.992,45.218,ADULT,-1,-45.218,1
37,80.092,0.975,ADULT,-1,-0.975,1
38,82.991,0.12,CHILD,1,0.12,1
39,107.225,0.364,ADULT,-1,-0.364,1
41,122.492,15.474,ADULT,-1,-15.474,1
42,130.35399999999998,0.157,CHILD,1,0.157,1
43,132.425,0.48100000000000004,CHILD,1,0.48100000000000004,1
44,138.255,1.067,CHILD,1,1.067,1
45,138.547,2.945,ADULT,-1,-2.945,1
46,140.368,1.52,ADULT,-1,-1.52,1
47,141.991,0.52,CHILD,1,0.52,1
48,142.148,0.358,CHILD,1,0.358,1
49,142.766,0.397,CHILD,1,0.397,1
51,143.471,0.54,CHILD,1,0.54,1
52,144.308,3.8339999999999996,ADULT,-1,-3.8339999999999996,1
53,146.011,0.11,CHILD,1,0.11,1
54,146.779,0.111,CHILD,1,0.111,1
55,147.19899999999998,0.196,CHILD,1,0.196,1
57,149.143,16.305,ADULT,-1,-16.305,1
58,149.6,0.10099999999999999,CHILD,1,0.10099999999999999,1
59,165.628,0.231,ADULT,-1,-0.231,1
60,166.489,3.353,ADULT,-1,-3.353,1
62,172.01,17.982,ADULT,-1,-17.982,1
63,190.547,2.445,CHILD,1,2.445,1
64,192.169,13.412,ADULT,-1,-13.412,1
65,198.94799999999998,0.594,CHILD,1,0.594,1
66,207.875,0.867,ADULT,-1,-0.867,1
68,209.392,29.12,ADULT,-1,-29.12,1
69,209.976,0.47600000000000003,CHILD,1,0.47600000000000003,1
70,218.855,0.763,CHILD,1,0.763,1
71,221.079,0.9309999999999999,CHILD,1,0.9309999999999999,1
72,240.33900000000003,0.741,CHILD,1,0.741,1
73,241.993,1.5190000000000001,ADULT,-1,-1.5190000000000001,1
75,246.368,4.6419999999999995,ADULT,-1,-4.6419999999999995,1
76,251.11900000000003,0.201,CHILD,1,0.201,1
78,253.16400000000002,1.5390000000000001,ADULT,-1,-1.5390000000000001,1
79,254.21900000000002,0.10300000000000001,ADULT,-1,-0.10300000000000001,1
80,255.012,0.10099999999999999,ADULT,-1,-0.10099999999999999,1
81,255.21599999999998,1.239,ADULT,-1,-1.239,1
82,256.492,2.573,ADULT,-1,-2.573,1
83,260.126,0.862,CHILD,1,0.862,1
85,262.882,17.629,ADULT,-1,-17.629,1
86,279.723,0.78,CHILD,1,0.78,1
87,280.962,0.53,ADULT,-1,-0.53,1
88,280.992,2.0,CHILD,1,2.0,1
89,282.955,5.056,ADULT,-1,-5.056,1
91,289.464,1.5290000000000001,ADULT,-1,-1.5290000000000001,1
92,290.296,0.457,CHILD,1,0.457,1
93,290.485,0.591,CHILD,1,0.591,1
95,291.944,2.5669999999999997,ADULT,-1,-2.5669999999999997,1
96,292.204,0.187,CHILD,1,0.187,1
98,295.643,2.3890000000000002,ADULT,-1,-2.3890000000000002,1
99,298.23,7.59,ADULT,-1,-7.59,1
100,300.184,0.233,CHILD,1,0.233,1
101,301.107,0.40299999999999997,CHILD,1,0.40299999999999997,1
102,306.36400000000003,3.782,ADULT,-1,-3.782,1
104,310.515,2.7030000000000003,ADULT,-1,-2.7030000000000003,1
105,310.6,0.41200000000000003,CHILD,1,0.41200000000000003,1
106,312.992,0.79,CHILD,1,0.79,1
107,313.121,0.6829999999999999,CHILD,1,0.6829999999999999,1
108,313.764,10.284,ADULT,-1,-10.284,1
110,325.558,8.935,ADULT,-1,-8.935,1
111,330.57599999999996,0.13699999999999998,CHILD,1,0.13699999999999998,1
112,330.858,1.21,CHILD,1,1.21,1
113,335.094,5.917999999999999,ADULT,-1,-5.917999999999999,1
115,342.67199999999997,3.34,ADULT,-1,-3.34,1
117,348.319,7.843,ADULT,-1,-7.843,1
119,357.49199999999996,15.52,ADULT,-1,-15.52,1
121,363.731,0.262,CHILD,1,0.262,1
122,375.35699999999997,11.635,ADULT,-1,-11.635,1
124,387.496,2.7880000000000003,ADULT,-1,-2.7880000000000003,1
126,391.306,1.686,ADULT,-1,-1.686,1
128,395.99199999999996,14.106,ADULT,-1,-14.106,1
129,398.99300000000005,0.5429999999999999,CHILD,1,0.5429999999999999,1
131,410.461,1.274,CHILD,1,1.274,1
132,410.464,0.6779999999999999,CHILD,1,0.6779999999999999,1
133,411.406,0.8340000000000001,ADULT,-1,-0.8340000000000001,1
134,411.991,0.106,ADULT,-1,-0.106,1
136,413.365,0.214,ADULT,-1,-0.214,1
