,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,2.528,0.483,ADULT,-1,-0.483,1
2,2.7539999999999996,9.737,ADULT,-1,-9.737,1
4,12.374,1.492,ADULT,-1,-1.492,1
5,13.088,5.901,ADULT,-1,-5.901,1
7,22.719,1.396,ADULT,-1,-1.396,1
9,26.217,4.2,ADULT,-1,-4.2,1
10,26.798000000000002,0.18100000000000002,ADULT,-1,-0.18100000000000002,1
11,27.478,1.033,ADULT,-1,-1.033,1
12,29.87,7.325,ADULT,-1,-7.325,1
14,33.766999999999996,1.244,ADULT,-1,-1.244,1
15,36.637,0.10099999999999999,ADULT,-1,-0.10099999999999999,1
16,37.304,0.18600000000000003,ADULT,-1,-0.18600000000000003,1
19,38.144,0.133,ADULT,-1,-0.133,1
20,40.010999999999996,12.464,ADULT,-1,-12.464,1
23,47.20399999999999,0.182,ADULT,-1,-0.182,1
24,47.49,4.003,ADULT,-1,-4.003,1
25,52.282,0.7290000000000001,ADULT,-1,-0.7290000000000001,1
26,53.981,4.042,ADULT,-1,-4.042,1
28,57.011,2.867,ADULT,-1,-2.867,1
29,58.148,0.643,ADULT,-1,-0.643,1
30,58.992,11.001,ADULT,-1,-11.001,1
31,60.532,0.584,ADULT,-1,-0.584,1
32,61.288000000000004,0.175,ADULT,-1,-0.175,1
33,62.065,0.307,ADULT,-1,-0.307,1
34,63.018,0.493,ADULT,-1,-0.493,1
36,69.125,0.26,ADULT,-1,-0.26,1
37,69.577,0.93,ADULT,-1,-0.93,1
38,70.156,0.19699999999999998,ADULT,-1,-0.19699999999999998,1
39,70.944,2.406,ADULT,-1,-2.406,1
40,73.798,3.7119999999999997,ADULT,-1,-3.7119999999999997,1
42,77.215,0.516,ADULT,-1,-0.516,1
44,78.553,1.608,ADULT,-1,-1.608,1
46,81.01,1.001,ADULT,-1,-1.001,1
47,82.51,11.742,ADULT,-1,-11.742,1
49,94.50299999999999,2.508,ADULT,-1,-2.508,1
52,97.17299999999999,0.21899999999999997,ADULT,-1,-0.21899999999999997,1
53,97.389,0.314,ADULT,-1,-0.314,1
55,98.449,1.704,ADULT,-1,-1.704,1
56,99.461,0.317,ADULT,-1,-0.317,1
59,101.491,6.34,ADULT,-1,-6.34,1
60,102.98100000000001,0.8,ADULT,-1,-0.8,1
61,107.992,1.865,ADULT,-1,-1.865,1
63,114.00399999999999,5.8389999999999995,ADULT,-1,-5.8389999999999995,1
