,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,1.51,4.501,ADULT,-1,-4.501,1
3,7.801,6.833,ADULT,-1,-6.833,1
5,15.157,0.128,ADULT,-1,-0.128,1
6,15.508,4.484,ADULT,-1,-4.484,1
7,20.512,1.976,ADULT,-1,-1.976,1
8,23.895,4.639,ADULT,-1,-4.639,1
12,30.102,1.244,ADULT,-1,-1.244,1
13,31.737,1.978,ADULT,-1,-1.978,1
16,33.959,3.051,ADULT,-1,-3.051,1
17,36.43,1.107,ADULT,-1,-1.107,1
18,37.687,0.111,ADULT,-1,-0.111,1
20,38.168,3.655,ADULT,-1,-3.655,1
21,42.952,0.94,ADULT,-1,-0.94,1
23,43.997,0.795,ADULT,-1,-0.795,1
24,45.451,2.349,ADULT,-1,-2.349,1
27,52.383,1.753,ADULT,-1,-1.753,1
29,54.511,4.198,ADULT,-1,-4.198,1
31,59.231,1.279,ADULT,-1,-1.279,1
33,60.991,2.739,ADULT,-1,-2.739,1
35,64.486,4.921,ADULT,-1,-4.921,1
36,67.373,0.751,ADULT,-1,-0.751,1
38,74.311,1.239,ADULT,-1,-1.239,1
40,75.961,0.532,ADULT,-1,-0.532,1
42,77.387,2.606,ADULT,-1,-2.606,1
43,77.547,0.471,ADULT,-1,-0.471,1
48,81.764,6.747,ADULT,-1,-6.747,1
49,88.493,1.419,ADULT,-1,-1.419,1
52,90.109,0.901,ADULT,-1,-0.901,1
53,91.446,2.067,ADULT,-1,-2.067,1
55,93.747,2.128,ADULT,-1,-2.128,1
56,95.097,0.221,ADULT,-1,-0.221,1
57,96.775,2.978,ADULT,-1,-2.978,1
59,99.541,1.47,ADULT,-1,-1.47,1
61,103.829,0.663,ADULT,-1,-0.663,1
63,106.022,0.975,ADULT,-1,-0.975,1
64,106.993,0.653,ADULT,-1,-0.653,1
65,108.054,1.186,ADULT,-1,-1.186,1
66,109.51,0.226,ADULT,-1,-0.226,1
68,110.619,2.05,ADULT,-1,-2.05,1
70,120.035,0.67,CHILD,1,0.67,1
71,120.818,0.192,CHILD,1,0.192,1
72,121.011,0.901,ADULT,-1,-0.901,1
74,123.79,1.424,ADULT,-1,-1.424,1
75,125.543,3.449,ADULT,-1,-3.449,1
77,128.169,0.208,CHILD,1,0.208,1
78,130.511,0.476,ADULT,-1,-0.476,1
80,131.51,1.814,ADULT,-1,-1.814,1
82,133.743,0.415,CHILD,1,0.415,1
84,134.634,3.377,ADULT,-1,-3.377,1
85,134.636,0.111,CHILD,1,0.111,1
86,138.394,5.599,ADULT,-1,-5.599,1
88,144.251,0.11,ADULT,-1,-0.11,1
90,145.992,0.518,ADULT,-1,-0.518,1
92,148.576,0.478,ADULT,-1,-0.478,1
94,150.301,1.463,ADULT,-1,-1.463,1
97,153.638,0.354,ADULT,-1,-0.354,1
98,154.135,0.101,ADULT,-1,-0.101,1
99,154.261,0.418,ADULT,-1,-0.418,1
100,156.914,2.811,ADULT,-1,-2.811,1
103,160.01,0.766,ADULT,-1,-0.766,1
104,161.865,0.506,ADULT,-1,-0.506,1
107,163.075,3.044,ADULT,-1,-3.044,1
109,166.669,0.341,ADULT,-1,-0.341,1
111,168.492,9.359,ADULT,-1,-9.359,1
113,184.066,1.282,ADULT,-1,-1.282,1
115,187.367,0.53,ADULT,-1,-0.53,1
117,188.745,2.126,ADULT,-1,-2.126,1
118,191.209,3.483,ADULT,-1,-3.483,1
121,195.531,1.48,ADULT,-1,-1.48,1
123,200.846,0.555,ADULT,-1,-0.555,1
125,203.492,1.627,ADULT,-1,-1.627,1
127,206.285,0.284,ADULT,-1,-0.284,1
128,206.751,0.24,ADULT,-1,-0.24,1
129,207.085,0.545,ADULT,-1,-0.545,1
131,208.281,1.922,ADULT,-1,-1.922,1
133,210.581,1.411,ADULT,-1,-1.411,1
134,212.011,1.328,CHILD,1,1.328,1
136,214.491,1.019,ADULT,-1,-1.019,1
137,215.698,0.837,CHILD,1,0.837,1
138,216.678,0.277,CHILD,1,0.277,1
139,217.492,0.297,ADULT,-1,-0.297,1
140,218.278,2.047,ADULT,-1,-2.047,1
141,220.708,0.135,CHILD,1,0.135,1
142,221.01,4.234,ADULT,-1,-4.234,1
143,221.142,0.351,CHILD,1,0.351,1
144,225.713,1.504,ADULT,-1,-1.504,1
146,227.507,1.652,ADULT,-1,-1.652,1
150,232.492,1.397,ADULT,-1,-1.397,1
151,234.417,2.239,ADULT,-1,-2.239,1
155,238.155,1.46,ADULT,-1,-1.46,1
158,241.542,0.235,CHILD,1,0.235,1
159,242.258,0.478,CHILD,1,0.478,1
160,242.981,1.917,ADULT,-1,-1.917,1
162,246.095,0.14,ADULT,-1,-0.14,1
163,246.983,3.301,ADULT,-1,-3.301,1
165,257.997,2.226,ADULT,-1,-2.226,1
167,263.993,0.771,ADULT,-1,-0.771,1
168,265.493,2,CHILD,1,2,1
169,265.537,0.413,CHILD,1,0.413,1
171,274.2,3.292,ADULT,-1,-3.292,1
172,277.992,2.987,CHILD,1,2.987,1
173,278.012,0.165,ADULT,-1,-0.165,1
174,279.16,1.453,ADULT,-1,-1.453,1
176,281.492,2.523,ADULT,-1,-2.523,1
177,285.231,2.187,CHILD,1,2.187,1
179,288.746,3.89,CHILD,1,3.89,1
183,293.326,1.853,ADULT,-1,-1.853,1
184,293.441,1.412,CHILD,1,1.412,1
186,298.794,2.41,ADULT,-1,-2.41,1
188,303.107,1.254,ADULT,-1,-1.254,1
189,304.131,0.154,CHILD,1,0.154,1
190,304.582,0.408,CHILD,1,0.408,1
