,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,0.557,0.528,ADULT,-1,-0.528,1
2,1.833,8.873,ADULT,-1,-8.873,1
4,12.992,1.554,ADULT,-1,-1.554,1
6,14.05,0.172,ADULT,-1,-0.172,1
7,14.394,0.138,ADULT,-1,-0.138,1
8,15.164,0.957,ADULT,-1,-0.957,1
10,16.077,0.466,ADULT,-1,-0.466,1
13,19.7,0.469,ADULT,-1,-0.469,1
14,19.712,1.299,CHILD,1,1.299,1
15,20.491,0.825,CHILD,1,0.825,1
16,26.823,2.585,ADULT,-1,-2.585,1
18,30.993,4.018,ADULT,-1,-4.018,1
21,35.335,2.211,ADULT,-1,-2.211,1
22,37.511,2.975,ADULT,-1,-2.975,1
