,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,5.511,6.5,ADULT,-1,-6.5,1
3,12.115,0.164,ADULT,-1,-0.164,1
4,12.226,3.766,CHILD,1,3.766,1
5,13.115,0.705,CHILD,1,0.705,1
6,14.342,0.147,CHILD,1,0.147,1
7,14.734,0.258,CHILD,1,0.258,1
8,16.284,1.051,ADULT,-1,-1.051,1
9,16.985,0.115,CHILD,1,0.115,1
10,16.991,0.648,CHILD,1,0.648,1
11,17.272,0.327,CHILD,1,0.327,1
12,17.872,1.62,CHILD,1,1.62,1
13,18.838,0.174,ADULT,-1,-0.174,1
14,19.011,12.766,ADULT,-1,-12.766,1
16,33.011,5.981,ADULT,-1,-5.981,1
17,33.239,0.753,ADULT,-1,-0.753,1
18,38.443,1.568,CHILD,1,1.568,1
19,41.011,5.481,ADULT,-1,-5.481,1
21,47.051,2.46,CHILD,1,2.46,1
22,52.012,11.873,ADULT,-1,-11.873,1
24,69.01,20.073,ADULT,-1,-20.073,1
27,90.318,5.673,CHILD,1,5.673,1
28,90.492,0.518,CHILD,1,0.518,1
29,92.5,0.93,CHILD,1,0.93,1
30,94.142,0.349,CHILD,1,0.349,1
31,96.491,10.52,ADULT,-1,-10.52,1
32,100.3,1.097,CHILD,1,1.097,1
33,106.473,0.364,CHILD,1,0.364,1
34,107.354,1.758,ADULT,-1,-1.758,1
35,109.011,3.247,ADULT,-1,-3.247,1
37,112.415,2.707,ADULT,-1,-2.707,1
38,115.059,0.732,CHILD,1,0.732,1
39,115.091,0.886,CHILD,1,0.886,1
40,115.265,3.903,ADULT,-1,-3.903,1
42,119.408,2.604,CHILD,1,2.604,1
43,121.461,0.565,CHILD,1,0.565,1
45,122.791,0.793,CHILD,1,0.793,1
46,122.811,1.681,CHILD,1,1.681,1
47,124.511,2.501,ADULT,-1,-2.501,1
48,126.998,1.012,CHILD,1,1.012,1
49,127.482,0.528,CHILD,1,0.528,1
51,128.707,0.277,CHILD,1,0.277,1
53,130.992,0.778,ADULT,-1,-0.778,1
54,131.993,0.606,CHILD,1,0.606,1
55,132.084,0.427,CHILD,1,0.427,1
56,132.992,1.519,CHILD,1,1.519,1
57,133.922,2.071,CHILD,1,2.071,1
58,135.992,0.287,ADULT,-1,-0.287,1
59,136.434,0.174,ADULT,-1,-0.174,1
60,136.836,0.948,ADULT,-1,-0.948,1
61,138.512,4.533,ADULT,-1,-4.533,1
62,143.512,3.518,ADULT,-1,-3.518,1
64,147.493,5.262,CHILD,1,5.262,1
65,151.492,3.645,ADULT,-1,-3.645,1
66,153.762,1.249,CHILD,1,1.249,1
67,155.01,2.086,CHILD,1,2.086,1
68,155.245,0.108,ADULT,-1,-0.108,1
69,156.895,1.115,CHILD,1,1.115,1
70,157.258,0.235,CHILD,1,0.235,1
71,157.57,12.44,ADULT,-1,-12.44,1
72,163.877,0.115,ADULT,-1,-0.115,1
73,169.99,0.255,CHILD,1,0.255,1
74,170.142,0.194,ADULT,-1,-0.194,1
76,170.697,2.143,CHILD,1,2.143,1
77,173.269,1.742,ADULT,-1,-1.742,1
78,174.511,3.388,CHILD,1,3.388,1
79,176.308,1.183,ADULT,-1,-1.183,1
80,179.992,0.581,CHILD,1,0.581,1
82,180.993,4.177,CHILD,1,4.177,1
83,181.052,1.455,CHILD,1,1.455,1
84,181.492,0.499,ADULT,-1,-0.499,1
85,182.704,0.23,CHILD,1,0.23,1
86,183.511,1.591,CHILD,1,1.591,1
87,185.453,0.54,ADULT,-1,-0.54,1
88,185.46,0.258,CHILD,1,0.258,1
89,186.011,8.481,ADULT,-1,-8.481,1
90,194.493,1.519,ADULT,-1,-1.519,1
91,194.601,0.38,CHILD,1,0.38,1
92,194.991,0.862,CHILD,1,0.862,1
93,196.894,1.617,ADULT,-1,-1.617,1
94,196.992,0.921,CHILD,1,0.921,1
95,198.087,0.196,CHILD,1,0.196,1
98,200.991,6.607,ADULT,-1,-6.607,1
99,207.714,0.214,ADULT,-1,-0.214,1
101,209.598,3.952,CHILD,1,3.952,1
103,210.791,0.704,ADULT,-1,-0.704,1
104,212.51,0.937,CHILD,1,0.937,1
105,213.511,5.478,ADULT,-1,-5.478,1
106,218.66,1.851,CHILD,1,1.851,1
107,219.203,0.165,CHILD,1,0.165,1
108,220.492,2.346,ADULT,-1,-2.346,1
109,224.296,7.216,ADULT,-1,-7.216,1
112,234.492,4.998,ADULT,-1,-4.998,1
115,238.992,1.421,CHILD,1,1.421,1
116,239.932,0.376,CHILD,1,0.376,1
118,241.593,1.919,CHILD,1,1.919,1
119,241.642,1.45,CHILD,1,1.45,1
120,243.879,1.088,ADULT,-1,-1.088,1
121,245.045,0.466,CHILD,1,0.466,1
123,246.247,5.682,CHILD,1,5.682,1
124,246.252,2.577,CHILD,1,2.577,1
125,250.493,0.329,CHILD,1,0.329,1
126,251.993,1.635,ADULT,-1,-1.635,1
127,252.362,1.149,CHILD,1,1.149,1
128,254.011,3,ADULT,-1,-3,1
130,256.851,0.66,CHILD,1,0.66,1
131,257.7,5.791,ADULT,-1,-5.791,1
133,282.16,1.573,CHILD,1,1.573,1
134,282.992,0.714,CHILD,1,0.714,1
136,286.268,1.439,CHILD,1,1.439,1
137,287.704,0.289,ADULT,-1,-0.289,1
138,289.011,1.974,ADULT,-1,-1.974,1
140,290.275,2.735,CHILD,1,2.735,1
141,290.512,1.31,CHILD,1,1.31,1
142,292.003,0.852,CHILD,1,0.852,1
143,293.156,0.476,CHILD,1,0.476,1
144,293.191,0.319,CHILD,1,0.319,1
145,293.492,4.244,ADULT,-1,-4.244,1
146,297.041,0.213,ADULT,-1,-0.213,1
148,297.916,2.865,CHILD,1,2.865,1
150,301.469,5.024,CHILD,1,5.024,1
151,301.907,0.218,ADULT,-1,-0.218,1
152,302.537,0.484,CHILD,1,0.484,1
154,305.924,7.587,ADULT,-1,-7.587,1
155,312.782,0.211,ADULT,-1,-0.211,1
156,313.291,4.642,CHILD,1,4.642,1
158,316.497,0.516,CHILD,1,0.516,1
159,317.491,1.666,ADULT,-1,-1.666,1
161,319.992,2.482,CHILD,1,2.482,1
162,321.492,2.918,CHILD,1,2.918,1
163,322.556,1.06,ADULT,-1,-1.06,1
164,324.618,2.393,CHILD,1,2.393,1
165,326.511,5.55,ADULT,-1,-5.55,1
