START,DUR,LABEL,DUR_TRANS,LABEL_NUM,COUNT
6.198,0.813,CHILD,0.813,1,1
7.773,0.145,CHILD,0.145,1,1
9.56,0.38,ADULT,-0.38,-1,1
10.694,0.24,CHILD,0.24,1,1
12.565,1.787,ADULT,-1.787,-1,1
16.661,0.319,CHILD,0.319,1,1
18.416,1.573,ADULT,-1.573,-1,1
21.992,0.445,ADULT,-0.445,-1,1
23.492,0.505,CHILD,0.505,1,1
25.397,0.118,ADULT,-0.118,-1,1
25.822,0.25,ADULT,-0.25,-1,1
27.471,4.394,ADULT,-4.394,-1,1
32.01,2.639,ADULT,-2.639,-1,1
33.011,0.363,CHILD,0.363,1,1
34.965,1.856,CHILD,1.856,1,1
35.291,1.72,ADULT,-1.72,-1,1
37.144,0.257,CHILD,0.257,1,1
37.25,0.766,ADULT,-0.766,-1,1
37.511,1.509,CHILD,1.509,1,1
39.039,3.972,ADULT,-3.972,-1,1
40.011,0.208,CHILD,0.208,1,1
41.016,0.494,CHILD,0.494,1,1
41.05,0.167,CHILD,0.167,1,1
42.356,0.142,CHILD,0.142,1,1
42.992,0.353,CHILD,0.353,1,1
43.458,11.035,ADULT,-11.035,-1,1
45.259,1.752,CHILD,1.752,1,1
48.011,0.294,CHILD,0.294,1,1
51.104,0.424,CHILD,0.424,1,1
54.01,0.351,CHILD,0.351,1,1
54.646,1.998,ADULT,-1.998,-1,1
55.991,2.678,ADULT,-2.678,-1,1
58.381,0.339,ADULT,-0.339,-1,1
59.493,1.637,ADULT,-1.637,-1,1
60.51,0.326,ADULT,-0.326,-1,1
61.012,0.118,ADULT,-0.118,-1,1
61.317,2.486,ADULT,-2.486,-1,1
64.225,2.474,ADULT,-2.474,-1,1
66.812,1.475,CHILD,1.475,1,1
68.011,1.536,ADULT,-1.536,-1,1
69.927,4.895,ADULT,-4.895,-1,1
72.441,0.417,ADULT,-0.417,-1,1
74.947,1.154,ADULT,-1.154,-1,1
75.013,2.19,ADULT,-2.19,-1,1
76.511,4.258,ADULT,-4.258,-1,1
79.323,0.552,ADULT,-0.552,-1,1
80.048,0.11,CHILD,0.11,1,1
80.377,3.134,CHILD,3.134,1,1
81.01,0.295,ADULT,-0.295,-1,1
81.489,0.673,ADULT,-0.673,-1,1
83.18,1.331,ADULT,-1.331,-1,1
85.474,1.816,ADULT,-1.816,-1,1
87.458,1.534,CHILD,1.534,1,1
87.716,13.792,ADULT,-13.792,-1,1
97.991,0.429,CHILD,0.429,1,1
101.017,0.969,ADULT,-0.969,-1,1
102.122,0.12,ADULT,-0.12,-1,1
102.197,10.419,ADULT,-10.419,-1,1
106.812,0.245,ADULT,-0.245,-1,1
113.03,0.486,CHILD,0.486,1,1
113.034,0.199,CHILD,0.199,1,1
113.493,1.364,ADULT,-1.364,-1,1
114.171,0.208,CHILD,0.208,1,1
114.974,7.037,ADULT,-7.037,-1,1
115.236,0.257,CHILD,0.257,1,1
120.992,0.815,ADULT,-0.815,-1,1
123.262,1.75,ADULT,-1.75,-1,1
125.992,0.132,CHILD,0.132,1,1
126.5,0.407,ADULT,-0.407,-1,1
127.511,1.348,ADULT,-1.348,-1,1
128.48,0.224,ADULT,-0.224,-1,1
129.112,0.879,ADULT,-0.879,-1,1
131.763,0.778,ADULT,-0.778,-1,1
132.167,0.118,CHILD,0.118,1,1
133.432,1.509,CHILD,1.509,1,1
133.783,0.209,ADULT,-0.209,-1,1
134.011,0.116,CHILD,0.116,1,1
134.48,0.481,CHILD,0.481,1,1
134.992,3.429,ADULT,-3.429,-1,1
138.598,0.991,ADULT,-0.991,-1,1
139.696,0.113,ADULT,-0.113,-1,1
141.077,0.986,CHILD,0.986,1,1
141.283,6.072,ADULT,-6.072,-1,1
145.511,0.462,CHILD,0.462,1,1
147.968,3.385,ADULT,-3.385,-1,1
155.265,4.727,ADULT,-4.727,-1,1
159.602,0.916,CHILD,0.916,1,1
159.992,0.287,CHILD,0.287,1,1
160.238,6.909,ADULT,-6.909,-1,1
160.512,0.245,CHILD,0.245,1,1
167.564,1.04,CHILD,1.04,1,1
169.493,1.05,ADULT,-1.05,-1,1
170.512,0.98,CHILD,0.98,1,1
170.746,0.66,CHILD,0.66,1,1
171.869,2.233,ADULT,-2.233,-1,1
175.265,7.271,ADULT,-7.271,-1,1
183.492,3.161,ADULT,-3.161,-1,1
187.044,0.948,CHILD,0.948,1,1
188.104,2.957,ADULT,-2.957,-1,1
191.263,9.543,ADULT,-9.543,-1,1
195.684,0.174,CHILD,0.174,1,1
196.037,0.154,CHILD,0.154,1,1
201.511,9.354,ADULT,-9.354,-1,1
203.359,1.488,CHILD,1.488,1,1
205.396,0.449,ADULT,-0.449,-1,1
206.653,0.116,ADULT,-0.116,-1,1
207.014,0.194,ADULT,-0.194,-1,1
209.993,0.857,ADULT,-0.857,-1,1
210.978,1.256,ADULT,-1.256,-1,1
211.511,3.95,ADULT,-3.95,-1,1
215.943,3.255,ADULT,-3.255,-1,1
219.466,6.333,ADULT,-6.333,-1,1
220.264,1.228,CHILD,1.228,1,1
223.351,5.385,CHILD,5.385,1,1
225.116,0.157,ADULT,-0.157,-1,1
227.571,0.506,CHILD,0.506,1,1
228.012,6.283,ADULT,-6.283,-1,1
234.272,1.019,CHILD,1.019,1,1
235.567,3.714,ADULT,-3.714,-1,1
238.321,0.12,ADULT,-0.12,-1,1
238.641,0.125,ADULT,-0.125,-1,1
238.888,0.351,CHILD,0.351,1,1
239.007,0.14,CHILD,0.14,1,1
