,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,0.012,1.662,ADULT,-1,-1.662,1
4,5.492999999999999,1.018,ADULT,-1,-1.018,1
5,5.8839999999999995,4.328,ADULT,-1,-4.328,1
6,12.228,2.283,ADULT,-1,-2.283,1
9,18.011,4.482,ADULT,-1,-4.482,1
11,23.147,0.263,ADULT,-1,-0.263,1
12,27.854,4.192,ADULT,-1,-4.192,1
14,31.55,0.147,ADULT,-1,-0.147,1
15,32.992,2.037,ADULT,-1,-2.037,1
18,36.701,0.7909999999999999,ADULT,-1,-0.7909999999999999,1
19,37.733000000000004,2.759,ADULT,-1,-2.759,1
22,42.005,1.979,ADULT,-1,-1.979,1
24,50.684,0.8420000000000001,ADULT,-1,-0.8420000000000001,1
26,53.011,13.495,ADULT,-1,-13.495,1
28,66.774,4.236000000000001,ADULT,-1,-4.236000000000001,1
30,69.569,0.16399999999999998,ADULT,-1,-0.16399999999999998,1
31,69.992,0.523,ADULT,-1,-0.523,1
32,71.493,2.334,ADULT,-1,-2.334,1
34,74.84100000000001,11.151,ADULT,-1,-11.151,1
38,86.53299999999999,3.4760000000000004,ADULT,-1,-3.4760000000000004,1
39,86.684,0.305,ADULT,-1,-0.305,1
40,89.012,7.978,ADULT,-1,-7.978,1
41,97.71799999999999,1.2930000000000001,ADULT,-1,-1.2930000000000001,1
43,99.01100000000001,10.232999999999999,ADULT,-1,-10.232999999999999,1
44,99.262,0.226,ADULT,-1,-0.226,1
45,100.992,0.7190000000000001,ADULT,-1,-0.7190000000000001,1
46,102.074,0.14800000000000002,ADULT,-1,-0.14800000000000002,1
47,104.90299999999999,2.678,ADULT,-1,-2.678,1
48,109.085,14.925999999999998,ADULT,-1,-14.925999999999998,1
49,116.993,0.9990000000000001,ADULT,-1,-0.9990000000000001,1
50,119.15299999999999,0.10800000000000001,ADULT,-1,-0.10800000000000001,1
51,119.76899999999999,2.224,ADULT,-1,-2.224,1
52,123.479,2.513,ADULT,-1,-2.513,1
53,125.17399999999999,0.201,ADULT,-1,-0.201,1
54,125.493,2.594,ADULT,-1,-2.594,1
55,127.47399999999999,12.852,ADULT,-1,-12.852,1
56,139.793,1.757,ADULT,-1,-1.757,1
57,140.511,13.772,ADULT,-1,-13.772,1
59,164.012,1.4680000000000002,ADULT,-1,-1.4680000000000002,1
