100millisecond_ints,secs,base_col,MAL,CHI,KCHI,FEM,SPEECH,overlap
0,,,,,,,,0
1,0.1,,,,,,,0
2,0.2,,,,,,,0
3,0.3,,,,,,,0
4,0.4,,,,,,,0
5,0.5,,,,,,,0
6,0.6,,,,,,,0
7,0.7,,,,,,,0
8,0.8,,,,,,,0
9,0.9,,,,,,,0
10,1,,,,,,,0
11,1.1,,,,,,,0
12,1.2,,,,,,,0
13,1.3,,,,,,,0
14,1.4,,,,,,,0
15,1.5,,,,,,,0
16,1.6,,,,,,,0
17,1.7,,,,,,,0
18,1.8,,,,,,,0
19,1.9,,,,,,,0
20,2,,,,,,,0
21,2.1,,,,,,,0
22,2.2,,,,,,,0
23,2.3,,,,,,,0
24,2.4,,,,,,,0
25,2.5,,,,,,,0
26,2.6,,,,,,,0
27,2.7,,,,,,,0
28,2.8,,,,,,,0
29,2.9,,,,,,,0
30,3,,,,,,,0
31,3.1,,,,,,,0
32,3.2,,,,,,,0
33,3.3,,,,,,,0
34,3.4,,,,,,,0
35,3.5,,,,,,,0
36,3.6,,,,,,,0
37,3.7,,,,,,,0
38,3.8,,,,,,,0
39,3.9,,,,,,,0
40,4,,,,,,,0
41,4.1,,,,,,,0
42,4.2,,,,,,,0
43,4.3,,,,,,,0
44,4.4,,,,,,,0
45,4.5,,,,,,,0
46,4.6,,,,,,,0
47,4.7,,,,,,,0
48,4.8,,,,,,,0
49,4.9,,,,,,,0
50,5,,,,,,,0
51,5.1,,,,,,,0
52,5.2,,,,,,,0
53,5.3,,,,,,,0
54,5.4,,,,,,,0
55,5.5,,,,,,,0
56,5.6,,,,,,,0
57,5.7,,,,,,,0
58,5.8,,,,,,,0
59,5.9,,,,,,,0
60,6,,,,,,1,0
61,6.1,,,,,,1,0
62,6.2,,,,1,,1,0
63,6.3,,,,1,,1,0
64,6.4,,,,1,,1,0
65,6.5,,,,1,,1,0
66,6.6,,,,1,,1,0
67,6.7,,,,1,,1,0
68,6.8,,,,1,,1,0
69,6.9,,,,1,,1,0
70,7,,,,,,1,0
71,7.1,,,,,,1,0
72,7.2,,,,,,1,0
73,7.3,,,,,,1,0
74,7.4,,,,,,1,0
75,7.5,,,,,,1,0
76,7.6,,,,,,1,0
77,7.7,,,,1,,1,0
78,7.8,,,,1,,1,0
79,7.9,,,,,,1,0
80,8,,,,,,1,0
81,8.1,,,,,,1,0
82,8.2,,,,,,1,0
83,8.3,,,,,,1,0
84,8.4,,,,,,1,0
85,8.5,,,,,,1,0
86,8.6,,,,,,1,0
87,8.7,,,,,,1,0
88,8.8,,,,,,1,0
89,8.9,,,,,,1,0
90,9.0,,,,,,1,0
91,9.1,,,,,,1,0
92,9.2,,,,,,1,0
93,9.3,,,,,,1,0
94,9.4,,,,,,1,0
95,9.5,,1,,,,1,0
96,9.6,,1,,,,1,0
97,9.7,,1,,,,1,0
98,9.8,,1,,,,1,0
99,9.9,,,,,,1,0
100,10.0,,,,,,1,0
101,10.1,,,,,,1,0
102,10.2,,,,,,1,0
103,10.3,,,,,,1,0
104,10.4,,,,,,1,0
105,10.5,,,,,,1,0
106,10.6,,,,1,,1,0
107,10.7,,,,1,,1,0
108,10.8,,,,1,,1,0
109,10.9,,,,,,1,0
110,11.0,,,,,,1,0
111,11.1,,,,,,1,0
112,11.2,,,,,,,0
113,11.3,,,,,,,0
114,11.4,,,,,,,0
115,11.5,,,,,,,0
116,11.6,,,,,,,0
117,11.7,,,,,,,0
118,11.8,,,,,,,0
119,11.9,,,,,,,0
120,12.0,,,,,,,0
121,12.1,,,,,,,0
122,12.2,,,,,,,0
123,12.3,,,,,,,0
124,12.4,,,,,,,0
125,12.5,,1,,,,,0
126,12.6,,1,,,,,0
127,12.7,,1,,,,,0
128,12.8,,1,,,,,0
129,12.9,,1,,,,,0
130,13.0,,1,,,,,0
131,13.1,,1,,,,,0
132,13.2,,1,,,,,0
133,13.3,,1,,,,,0
134,13.4,,1,,,,,0
135,13.5,,1,,,,,0
136,13.6,,1,,,,,0
137,13.7,,1,,,,,0
138,13.8,,1,,,,,0
139,13.9,,1,,,,,0
140,14.0,,1,,,,1,0
141,14.1,,1,,,,1,0
142,14.2,,1,,,,1,0
143,14.3,,,,,,1,0
144,14.4,,,,,,1,0
145,14.5,,,,,,1,0
146,14.6,,,,,,1,0
147,14.7,,,,,,1,0
148,14.8,,,,,,1,0
149,14.9,,,,,,1,0
150,15.0,,,,,,1,0
151,15.1,,,,,,1,0
152,15.2,,,,,,1,0
153,15.3,,,,,,1,0
154,15.4,,,,,,1,0
155,15.5,,,,,,1,0
156,15.6,,,,,,1,0
157,15.7,,,,,,1,0
158,15.8,,,,,,1,0
159,15.9,,,,,,1,0
160,16.0,,,,,,1,0
161,16.1,,,,,,1,0
162,16.2,,,,,,1,0
163,16.3,,,,,,1,0
164,16.4,,,,,,1,0
165,16.5,,,,,,1,0
166,16.6,,,,1,,1,0
167,16.7,,,,1,,1,0
168,16.8,,,,1,,1,0
169,16.9,,,,,,1,0
170,17.0,,,,,,1,0
171,17.1,,,,,,,0
172,17.2,,,,,,,0
173,17.3,,,,,,,0
174,17.4,,,,,,,0
175,17.5,,,,,,,0
176,17.6,,,,,,,0
177,17.7,,,,,,,0
178,17.8,,,,,,,0
179,17.9,,,,,,,0
180,18.0,,,,,,,0
181,18.1,,,,,,,0
182,18.2,,,,,,,0
183,18.3,,,,,,,0
184,18.4,,1,,,,1,0
185,18.5,,1,,,,1,0
186,18.6,,1,,,,1,0
187,18.7,,1,,,,,0
188,18.8,,1,,,,,0
189,18.9,,1,,,,,0
190,19.0,,1,,,,1,0
191,19.1,,1,,,,1,0
192,19.2,,1,,,,,0
193,19.3,,1,,,,,0
194,,,1,,,,,0
195,,,1,,,,,0
196,,,1,,,,,0
197,,,1,,,,,0
198,,,1,,,,,0
199,,,,,,,,0
200,,,,,,,,0
201,,,,,,,,0
202,,,,,,,,0
203,,,,,,,,0
204,,,,,,,,0
205,,,,,,,,0
206,,,,,,,,0
207,,,,,,,,0
208,,,,,,,,0
209,,,,,,,1,0
210,,,,,,,1,0
211,,,,,,,1,0
212,,,,,,,1,0
213,,,,,,,1,0
214,,,,,,,1,0
215,,,,,,,1,0
216,,,,,,,1,0
217,,,,,,,1,0
218,,,,,,,1,0
219,,,,,,1,1,0
220,,,,,,1,1,0
221,,,,,,1,1,0
222,,,,,,1,1,0
223,,,,,,1,1,0
224,,,,,,,1,0
225,,,,,,,1,0
226,,,,,,,1,0
227,,,,,,,1,0
228,,,,,,,1,0
229,,,,,,,1,0
230,,,,,,,1,0
231,,,,,,,1,0
232,,,,,,,1,0
233,,,,,,,1,0
234,,,,,1,,1,0
235,,,,,1,,1,0
236,,,,,1,,1,0
237,,,,,1,,1,0
238,,,,,1,,1,0
239,,,,,1,,1,0
240,,,,,,,1,0
241,,,,,,,1,0
242,,,,,,,1,0
243,,,,,,,1,0
244,,,,,,,1,0
245,,,,,,,,0
246,,,,,,,,0
247,,,,,,,,0
248,,,,,,,,0
249,,,,,,,,0
250,,,,,,,,0
251,,,,,,,,0
252,,,,,,,,0
253,,,,,,,1,0
254,,,1,,,,1,0
255,,,,,,,1,0
256,,,,,,,1,0
257,,,,,,,1,0
258,,,1,,,,1,0
259,,,1,,,,1,0
260,,,,,,,1,0
261,,,,,,,1,0
262,,,,,,,1,0
263,,,,,,,1,0
264,,,,,,,1,0
265,,,,,,,1,0
266,,,,,,,1,0
267,,,,,,,1,0
268,,,,,,,1,0
269,,,,,,,1,0
270,,,,,,,1,0
271,,,,,,,1,0
272,,,,,,,1,0
273,,,,,,,1,0
274,,,,,,1,1,0
275,,,,,,1,1,0
276,,,,,,1,1,0
277,,,,,,1,1,0
278,,,,,,1,1,0
279,,,,,,1,1,0
280,,,,,,1,1,0
281,,,,,,1,1,0
282,,,,,,1,1,0
283,,,,,,1,1,0
284,,,,,,1,1,0
285,,,,,,1,1,0
286,,,,,,1,1,0
287,,,,,,1,1,0
288,,,,,,1,1,0
289,,,,,,1,1,0
290,,,,,,1,1,0
291,,,,,,1,1,0
292,,,,,,1,1,0
293,,,,,,1,1,0
294,,,,,,1,1,0
295,,,,,,1,1,0
296,,,,,,1,1,0
297,,,,,,1,1,0
298,,,,,,1,1,0
299,,,,,,1,1,0
300,,,,,,1,1,0
301,,,,,,1,1,0
302,,,,,,1,1,0
303,,,,,,1,1,0
304,,,,,,1,1,0
305,,,,,,1,1,0
306,,,,,,1,1,0
307,,,,,,1,1,0
308,,,,,,1,1,0
309,,,,,,1,1,0
310,,,,,,1,1,0
311,,,,,,1,1,0
312,,,,,,1,1,0
313,,,,,,1,1,0
314,,,,,,1,1,0
315,,,,,,1,1,0
316,,,,,,1,1,0
317,,,,,,1,1,0
318,,,,,,,1,0
319,,,,,,,1,0
320,,,,,,1,1,0
321,,,,,,1,1,0
322,,,,,,1,1,0
323,,,,,,1,1,0
324,,,,,,1,1,0
325,,,,,,1,1,0
326,,,,,,1,1,0
327,,,,,,1,1,0
328,,,,,,1,1,0
329,,,,,,1,1,0
330,,,,1,,1,1,1
331,,,,1,,1,1,1
332,,,,1,,1,1,1
333,,,,,,1,1,0
334,,,,,,1,1,0
335,,,,,,1,1,0
336,,,,,,1,1,0
337,,,,,,1,1,0
338,,,,,,1,1,0
339,,,,,,1,1,0
340,,,,,,1,1,0
341,,,,,,1,1,0
342,,,,,,1,1,0
343,,,,,,1,1,0
344,,,,,,1,1,0
345,,,,,,1,1,0
346,,,,,,,1,0
347,,,,,,,1,0
348,,,,,,,1,0
349,,,,,1,,1,0
350,,,,,1,,1,0
351,,,,,1,,1,0
352,,,,,1,1,1,1
353,,,,,1,1,1,1
354,,,,,1,1,1,1
355,,,,,1,1,1,1
356,,,,,1,1,1,1
357,,,,,1,1,1,1
358,,,,,1,1,1,1
359,,,,,1,1,1,1
360,,,,,1,1,1,1
361,,,,,1,1,1,1
362,,,,,1,1,1,1
363,,,,,1,1,1,1
364,,,,,1,1,1,1
365,,,,,1,1,1,1
366,,,,,1,1,1,1
367,,,,,1,1,1,1
368,,,,,,1,1,0
369,,,,,,1,1,0
370,,,,,,,1,0
371,,,,1,,,1,0
372,,,,1,,1,1,1
373,,,,1,,1,1,1
374,,,,,,1,1,0
375,,,,,1,1,1,1
376,,,,,1,1,1,1
377,,,,,1,1,1,1
378,,,,,1,1,1,1
379,,,,,1,1,1,1
380,,,,,1,,1,0
381,,,,,1,,1,0
382,,,,,1,,1,0
383,,,,,1,,1,0
384,,,,,1,,1,0
385,,,,,1,,1,0
386,,,,,1,,1,0
387,,,,,1,,1,0
388,,,,,1,,1,0
389,,,,,1,,1,0
390,,,,,,1,1,0
391,,,,,,1,1,0
392,,,,,,1,1,0
393,,,,,,1,1,0
394,,,,,,1,1,0
395,,,,,,1,1,0
396,,,,,,1,1,0
397,,,,,,1,1,0
398,,,,,,1,1,0
399,,,,,,1,1,0
400,,,,,1,1,1,1
401,,,,,1,1,1,1
402,,,,,,1,1,0
403,,,,,,1,1,0
404,,,,,,1,1,0
405,,,,,,1,1,0
406,,,,,,1,1,0
407,,,,,,1,1,0
408,,,,,,1,1,0
409,,,,,,1,1,0
410,,,,1,1,1,1,1
411,,,,1,1,1,1,1
412,,,,,1,1,1,1
413,,,,,1,1,1,1
414,,,,,1,1,1,1
415,,,,,,1,1,0
416,,,,,,1,1,0
417,,,,,,1,1,0
418,,,,,,1,1,0
419,,,,,,1,1,0
420,,,,,,1,1,0
421,,,,,,1,1,0
422,,,,,,1,1,0
423,,,,1,,1,1,1
424,,,,1,,1,1,1
425,,,,,,1,1,0
426,,,,,,1,1,0
427,,,,,,1,1,0
428,,,,,,1,1,0
429,,,,1,,1,1,1
430,,,,1,,,1,0
431,,,,1,,,1,0
432,,,,1,,,1,0
433,,,,,,,1,0
434,,,,,,1,1,0
435,,,,,,1,1,0
436,,,,,,1,1,0
437,,,,,,1,1,0
438,,,,,,1,1,0
439,,,,,,1,1,0
440,,,,,,1,1,0
441,,,,,,1,1,0
442,,,,,,1,1,0
443,,,,,,1,1,0
444,,,,,,1,1,0
445,,,,,,1,1,0
446,,,,,,1,1,0
447,,,,,,1,1,0
448,,,,,,1,1,0
449,,,,,,1,1,0
450,,,,,,1,1,0
451,,,,,,1,1,0
452,,,,1,,1,1,1
453,,,,1,,1,1,1
454,,,,1,,1,1,1
455,,,,1,,1,1,1
456,,,,1,,1,1,1
457,,,,1,,1,1,1
458,,,,1,,1,1,1
459,,,,1,,1,1,1
460,,,,1,,1,1,1
461,,,,1,,1,1,1
462,,,,1,,1,1,1
463,,,,1,,1,1,1
464,,,,1,,1,1,1
465,,,,1,,1,1,1
466,,,,1,,1,1,1
467,,,,1,,1,1,1
468,,,,1,,1,1,1
469,,,,1,,1,1,1
470,,,,,,1,1,0
471,,,,,,1,1,0
472,,,,,,1,1,0
473,,,,,,1,1,0
474,,,,,,1,1,0
475,,,,,,1,1,0
476,,,,,,1,1,0
477,,,,,,1,1,0
478,,,,,,1,1,0
479,,,,,,1,1,0
480,,,,1,,1,1,1
481,,,,1,,1,1,1
482,,,,1,,1,1,1
483,,,,,,1,1,0
484,,,,,,1,1,0
485,,,,,,1,1,0
486,,,,,,1,1,0
487,,,,,,1,1,0
488,,,,,,1,1,0
489,,,,,,1,1,0
490,,,,,,1,1,0
491,,,,,,1,1,0
492,,,,,,1,1,0
493,,,,,,1,1,0
494,,,,,,1,1,0
495,,,,,,1,1,0
496,,,,,,1,1,0
497,,,,,,1,1,0
498,,,,,,1,1,0
499,,,,,,1,1,0
500,,,,,,1,1,0
501,,,,,,1,1,0
502,,,,,,1,1,0
503,,,,,,1,1,0
504,,,,,,1,1,0
505,,,,,,1,1,0
506,,,,,,1,1,0
507,,,,,,1,1,0
508,,,,,,1,1,0
509,,,,,,1,1,0
510,,,,,,1,1,0
511,,,,1,,1,1,1
512,,,,1,,1,1,1
513,,,,1,,1,1,1
514,,,,1,,1,1,1
515,,,,,,1,1,0
516,,,,,,1,1,0
517,,,,,,1,1,0
518,,,,,,1,1,0
519,,,,,,1,1,0
520,,,,,,1,1,0
521,,,,,,1,1,0
522,,,,,,1,1,0
523,,,,,,1,1,0
524,,,,,,1,1,0
525,,,,,,1,1,0
526,,,,,,1,1,0
527,,,,,,1,1,0
528,,,,,,1,1,0
529,,,,,,1,1,0
530,,,,,,1,1,0
531,,,,,,1,1,0
532,,,,,,1,1,0
533,,,,,,1,1,0
534,,,,,,1,1,0
535,,,,,,1,1,0
536,,,,,,1,1,0
537,,,,,,1,1,0
538,,,,,,1,1,0
539,,,,,,1,1,0
540,,,,1,,1,1,1
541,,,,1,,1,1,1
