,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
0,0.01,3.502,ADULT,-1,-3.502
2,0.322,0.688,ADULT,-1,-0.688
3,1.824,0.165,ADULT,-1,-0.165
4,2.3,0.10099999999999999,ADULT,-1,-0.10099999999999999
5,3.986,1.298,CHILD,1,1.298
6,4.166,1.345,CHILD,1,1.345
7,5.535,0.20800000000000002,ADULT,-1,-0.20800000000000002
8,5.638,0.324,CHILD,1,0.324
9,6.475,0.537,ADULT,-1,-0.537
12,9.399,1.3259999999999998,ADULT,-1,-1.3259999999999998
14,15.614,1.8780000000000001,ADULT,-1,-1.8780000000000001
16,23.296,0.6970000000000001,ADULT,-1,-0.6970000000000001
17,23.38,3.6060000000000003,ADULT,-1,-3.6060000000000003
18,24.2,0.327,ADULT,-1,-0.327
20,33.492,0.52,CHILD,1,0.52
21,34.013000000000005,1.1,ADULT,-1,-1.1
22,35.323,5.457000000000001,ADULT,-1,-5.457000000000001
23,35.954,1.976,ADULT,-1,-1.976
25,42.942,1.07,ADULT,-1,-1.07
26,43.49,1.882,ADULT,-1,-1.882
27,45.476000000000006,1.64,ADULT,-1,-1.64
28,45.583,0.429,CHILD,1,0.429
29,47.41,0.601,ADULT,-1,-0.601
30,47.512,3.88,ADULT,-1,-3.88
31,52.126999999999995,0.6990000000000001,CHILD,1,0.6990000000000001
32,52.196000000000005,0.127,CHILD,1,0.127
33,53.236000000000004,0.741,CHILD,1,0.741
34,53.3,0.645,CHILD,1,0.645
35,54.066,1.601,ADULT,-1,-1.601
36,56.415,0.381,ADULT,-1,-0.381
37,56.44,2.052,ADULT,-1,-2.052
38,58.985,0.9329999999999999,ADULT,-1,-0.9329999999999999
40,60.782,0.14800000000000002,CHILD,1,0.14800000000000002
41,61.511,0.172,CHILD,1,0.172
43,62.107,1.4040000000000001,ADULT,-1,-1.4040000000000001
44,62.195,3.2969999999999997,ADULT,-1,-3.2969999999999997
45,63.622,0.16699999999999998,ADULT,-1,-0.16699999999999998
46,65.48899999999999,1.3719999999999999,ADULT,-1,-1.3719999999999999
47,66.01,2.302,ADULT,-1,-2.302
48,66.992,0.7509999999999999,ADULT,-1,-0.7509999999999999
49,67.876,0.19699999999999998,CHILD,1,0.19699999999999998
50,68.982,9.453,ADULT,-1,-9.453
51,77.51,0.521,ADULT,-1,-0.521
52,79.91199999999999,1.099,ADULT,-1,-1.099
55,81.61399999999999,3.5,ADULT,-1,-3.5
56,83.48899999999999,1.64,ADULT,-1,-1.64
58,86.397,1.4880000000000002,CHILD,1,1.4880000000000002
59,87.991,2.0,ADULT,-1,-2.0
60,89.01100000000001,0.815,ADULT,-1,-0.815
62,90.62200000000001,0.675,ADULT,-1,-0.675
63,90.664,0.162,ADULT,-1,-0.162
64,91.67,1.946,ADULT,-1,-1.946
65,93.51100000000001,0.111,ADULT,-1,-0.111
66,93.992,4.619,ADULT,-1,-4.619
67,94.20100000000001,0.243,ADULT,-1,-0.243
68,95.13799999999999,0.872,ADULT,-1,-0.872
69,99.178,3.28,ADULT,-1,-3.28
71,100.664,1.19,ADULT,-1,-1.19
72,103.012,2.675,CHILD,1,2.675
73,103.196,0.915,CHILD,1,0.915
74,104.777,0.898,CHILD,1,0.898
75,106.167,1.07,CHILD,1,1.07
76,106.286,3.55,CHILD,1,3.55
77,109.166,0.336,ADULT,-1,-0.336
79,110.37799999999999,0.726,CHILD,1,0.726
81,111.86399999999999,1.146,CHILD,1,1.146
82,111.945,1.046,CHILD,1,1.046
83,113.01,1.7209999999999999,ADULT,-1,-1.7209999999999999
84,115.01299999999999,1.598,ADULT,-1,-1.598
85,116.228,1.203,ADULT,-1,-1.203
86,116.713,0.24,ADULT,-1,-0.24
87,117.631,2.9160000000000004,CHILD,1,2.9160000000000004
89,121.456,0.6559999999999999,ADULT,-1,-0.6559999999999999
91,122.671,0.623,ADULT,-1,-0.623
92,123.603,1.1420000000000001,ADULT,-1,-1.1420000000000001
93,124.01100000000001,0.201,ADULT,-1,-0.201
94,124.492,0.262,ADULT,-1,-0.262
95,124.991,3.574,ADULT,-1,-3.574
96,128.653,0.121,ADULT,-1,-0.121
97,128.657,1.662,CHILD,1,1.662
98,128.974,0.268,ADULT,-1,-0.268
99,129.983,0.23,ADULT,-1,-0.23
100,130.459,5.078,ADULT,-1,-5.078
101,131.519,0.494,ADULT,-1,-0.494
102,137.656,1.8359999999999999,ADULT,-1,-1.8359999999999999
104,139.322,2.374,ADULT,-1,-2.374
106,144.469,0.542,ADULT,-1,-0.542
107,145.257,0.754,CHILD,1,0.754
108,145.493,0.466,CHILD,1,0.466
109,146.07,2.4219999999999997,ADULT,-1,-2.4219999999999997
110,147.067,0.7440000000000001,ADULT,-1,-0.7440000000000001
111,148.10299999999998,0.284,ADULT,-1,-0.284
112,148.993,1.018,CHILD,1,1.018
113,149.011,0.9990000000000001,CHILD,1,0.9990000000000001
114,150.01,1.4580000000000002,ADULT,-1,-1.4580000000000002
115,150.299,0.213,ADULT,-1,-0.213
117,152.12,0.373,ADULT,-1,-0.373
119,154.958,0.7909999999999999,ADULT,-1,-0.7909999999999999
121,157.334,3.323,ADULT,-1,-3.323
122,158.512,0.127,ADULT,-1,-0.127
123,158.993,0.628,ADULT,-1,-0.628
124,159.72899999999998,0.16699999999999998,ADULT,-1,-0.16699999999999998
