SPEAKER,FILENAME,ONE,STARTTIMESEC,DURATIONSEC,NAN1,NAN2,SPEAKERID,NAN3,NAN4,UTTERANCE,NOTES,VIDEOID,TEXTID,TITLE,ORIGLINK,MP4LINK,TEXTLINK,SHORTLINK
SPEAKER,,1,00:27.699,6.551,<NA>,<NA>,FEM,<NA>,<NA>,"Scientists, take a look over here. I did turn it into a ball. They are not big or small. I want you take both pieces. I want you to hold them in your hand.",,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:35.000,1.250,<NA>,<NA>,FEM,<NA>,<NA>,Like this. Match me.,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:36.500,1.600,<NA>,<NA>,CHI,<NA>,<NA>,[children giggle],,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:38.100,1.164,<NA>,<NA>,FEM,<NA>,<NA>,Shhh.,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:41.673,1.327,<NA>,<NA>,FEM,<NA>,<NA>,What do you notice about the weight?,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:43.000,1.500,<NA>,<NA>,CHI,<NA>,<NA>,[children talk softly],,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:44.250,1.250,<NA>,<NA>,FEM,<NA>,<NA>,Do you think they're the same?,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:45.500,1.408,<NA>,<NA>,CHI,<NA>,<NA>,Yeah.,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:46.908,5.392,<NA>,<NA>,FEM,<NA>,<NA>,"I need a scientist. to come out and check. I brought our scale, so we're going to check. Rorey, can you bring both of your pieces over",,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:52.600,1.900,<NA>,<NA>,FEM,<NA>,<NA>,and put them into the scale.,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:56.340,1.527,<NA>,<NA>,FEM,<NA>,<NA>,What do you notice?,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:58.100,1.098,<NA>,<NA>,CHI,<NA>,<NA>,That's one's heavier.,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,00:59.198,3.451,<NA>,<NA>,FEM,<NA>,<NA>,"Just a tiny bit heavier, but pretty much they're the…",,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
SPEAKER,,1,01:02.649,0.451,<NA>,<NA>,CHI,<NA>,<NA>,Same.,,147641946,4256099,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-4,https://player.vimeo.com/video/147641946?api=1&player_id=media-vimeo-147641946&color=,https://player.vimeo.com/texttrack/4256099.vtt?token=5ee6daeb_0x4419403a5ca6e7bbfe2071ff3b76ce7cfc4e5e0c,https://vimeo.com/147641946
