,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,1.169,1.504,CHILD,1,1.504,1
2,2.511,2.3169999999999997,ADULT,-1,-2.3169999999999997,1
3,4.129,0.862,CHILD,1,0.862,1
4,4.995,25.468000000000004,ADULT,-1,-25.468000000000004,1
6,27.68,0.775,ADULT,-1,-0.775,1
7,29.02,0.991,ADULT,-1,-0.991,1
8,30.491,2.153,CHILD,1,2.153,1
9,30.588,0.38,CHILD,1,0.38,1
10,32.781,1.7109999999999999,ADULT,-1,-1.7109999999999999,1
11,35.719,0.105,ADULT,-1,-0.105,1
12,36.038000000000004,0.275,CHILD,1,0.275,1
13,37.01,0.314,ADULT,-1,-0.314,1
14,38.902,0.97,ADULT,-1,-0.97,1
15,39.027,0.33899999999999997,CHILD,1,0.33899999999999997,1
16,39.668,0.113,ADULT,-1,-0.113,1
17,39.992,2.498,ADULT,-1,-2.498,1
19,44.012,3.9989999999999997,ADULT,-1,-3.9989999999999997,1
21,48.992,3.218,ADULT,-1,-3.218,1
23,54.083,2.428,ADULT,-1,-2.428,1
24,55.17100000000001,2.818,ADULT,-1,-2.818,1
25,58.232,8.254,ADULT,-1,-8.254,1
26,58.492,0.943,ADULT,-1,-0.943,1
27,59.766000000000005,0.7440000000000001,ADULT,-1,-0.7440000000000001,1
28,60.638999999999996,0.10099999999999999,ADULT,-1,-0.10099999999999999,1
29,66.798,0.486,ADULT,-1,-0.486,1
30,67.169,2.678,CHILD,1,2.678,1
31,67.718,2.27,CHILD,1,2.27,1
32,69.572,1.9980000000000002,ADULT,-1,-1.9980000000000002,1
33,71.533,0.977,CHILD,1,0.977,1
34,72.024,0.226,CHILD,1,0.226,1
35,72.048,0.439,ADULT,-1,-0.439,1
36,72.687,1.045,ADULT,-1,-1.045,1
37,73.116,0.353,ADULT,-1,-0.353,1
38,73.916,1.595,CHILD,1,1.595,1
39,75.01100000000001,5.506,ADULT,-1,-5.506,1
40,80.322,2.189,CHILD,1,2.189,1
41,80.367,1.625,CHILD,1,1.625,1
42,82.139,2.2680000000000002,ADULT,-1,-2.2680000000000002,1
43,84.34,0.34600000000000003,CHILD,1,0.34600000000000003,1
44,84.491,0.40700000000000003,CHILD,1,0.40700000000000003,1
45,84.79899999999999,0.192,ADULT,-1,-0.192,1
46,85.09200000000001,0.397,ADULT,-1,-0.397,1
47,85.852,10.142000000000001,ADULT,-1,-10.142000000000001,1
48,86.068,0.10300000000000001,ADULT,-1,-0.10300000000000001,1
49,97.01299999999999,35.48,ADULT,-1,-35.48,1
51,132.317,2.175,CHILD,1,2.175,1
52,133.993,13.27,ADULT,-1,-13.27,1
53,146.922,1.169,CHILD,1,1.169,1
54,147.012,0.732,ADULT,-1,-0.732,1
55,147.582,3.405,ADULT,-1,-3.405,1
56,150.834,2.658,CHILD,1,2.658,1
57,151.058,0.434,CHILD,1,0.434,1
58,152.989,14.494000000000002,ADULT,-1,-14.494000000000002,1
59,164.489,2.521,ADULT,-1,-2.521,1
60,167.388,0.748,CHILD,1,0.748,1
61,167.665,25.346,ADULT,-1,-25.346,1
62,193.68599999999998,25.301,ADULT,-1,-25.301,1
64,218.511,0.606,CHILD,1,0.606,1
65,219.382,1.137,CHILD,1,1.137,1
