,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,6.1979999999999995,0.813,CHILD,1,0.813,1
2,7.773,0.145,CHILD,1,0.145,1
3,9.56,0.38,ADULT,-1,-0.38,1
4,10.694,0.24,CHILD,1,0.24,1
5,12.565,1.787,ADULT,-1,-1.787,1
7,16.660999999999998,0.319,CHILD,1,0.319,1
8,18.416,1.5730000000000002,ADULT,-1,-1.5730000000000002,1
12,21.991999999999997,0.445,ADULT,-1,-0.445,1
13,23.491999999999997,0.505,CHILD,1,0.505,1
15,25.397,0.11800000000000001,ADULT,-1,-0.11800000000000001,1
16,25.822,0.25,ADULT,-1,-0.25,1
17,27.471,4.394,ADULT,-1,-4.394,1
18,32.01,2.639,ADULT,-1,-2.639,1
19,33.010999999999996,0.363,CHILD,1,0.363,1
20,34.965,1.8559999999999999,CHILD,1,1.8559999999999999,1
21,35.291,1.72,ADULT,-1,-1.72,1
22,37.144,0.257,CHILD,1,0.257,1
23,37.25,0.7659999999999999,ADULT,-1,-0.7659999999999999,1
24,37.510999999999996,1.5090000000000001,CHILD,1,1.5090000000000001,1
25,39.039,3.972,ADULT,-1,-3.972,1
26,40.010999999999996,0.20800000000000002,CHILD,1,0.20800000000000002,1
27,41.016000000000005,0.494,CHILD,1,0.494,1
28,41.05,0.16699999999999998,CHILD,1,0.16699999999999998,1
29,42.356,0.142,CHILD,1,0.142,1
30,42.992,0.353,CHILD,1,0.353,1
31,43.458,11.035,ADULT,-1,-11.035,1
32,45.25899999999999,1.7519999999999998,CHILD,1,1.7519999999999998,1
33,48.011,0.294,CHILD,1,0.294,1
34,51.104,0.424,CHILD,1,0.424,1
35,54.01,0.35100000000000003,CHILD,1,0.35100000000000003,1
36,54.646,1.9980000000000002,ADULT,-1,-1.9980000000000002,1
37,55.99100000000001,2.678,ADULT,-1,-2.678,1
38,58.381,0.33899999999999997,ADULT,-1,-0.33899999999999997,1
39,59.493,1.6369999999999998,ADULT,-1,-1.6369999999999998,1
40,60.51,0.326,ADULT,-1,-0.326,1
