,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
2,7.511,0.19399999999999998,ADULT,-1,-0.19399999999999998,1
4,9.86,1.1320000000000001,CHILD,1,1.1320000000000001,1
5,10.01,2.275,ADULT,-1,-2.275,1
7,14.511,2.06,ADULT,-1,-2.06,1
8,14.847999999999999,0.14300000000000002,CHILD,1,0.14300000000000002,1
9,16.757,1.912,ADULT,-1,-1.912,1
11,19.319000000000003,3.858,ADULT,-1,-3.858,1
12,22.451999999999998,1.203,ADULT,-1,-1.203,1
13,23.436,0.53,ADULT,-1,-0.53,1
14,23.993000000000002,3.0439999999999996,ADULT,-1,-3.0439999999999996,1
15,30.061,1.774,ADULT,-1,-1.774,1
17,31.693,2.818,ADULT,-1,-2.818,1
18,34.012,5.047,ADULT,-1,-5.047,1
20,41.011,5.481,ADULT,-1,-5.481,1
23,55.348,0.631,ADULT,-1,-0.631,1
25,57.896,2.062,ADULT,-1,-2.062,1
27,62.675,0.7829999999999999,CHILD,1,0.7829999999999999,1
29,65.51,1.002,ADULT,-1,-1.002,1
31,67.15100000000001,1.807,CHILD,1,1.807,1
33,71.442,1.05,CHILD,1,1.05,1
36,76.013,1.838,ADULT,-1,-1.838,1
38,94.01100000000001,6.001,ADULT,-1,-6.001,1
40,97.271,0.7509999999999999,ADULT,-1,-0.7509999999999999,1
42,100.77799999999999,1.018,ADULT,-1,-1.018,1
43,101.88600000000001,2.275,ADULT,-1,-2.275,1
44,101.98899999999999,0.15,ADULT,-1,-0.15,1
45,103.38,2.1719999999999997,ADULT,-1,-2.1719999999999997,1
47,105.87700000000001,3.115,ADULT,-1,-3.115,1
48,107.632,14.425,ADULT,-1,-14.425,1
49,109.51,0.294,ADULT,-1,-0.294,1
50,109.99600000000001,2.003,ADULT,-1,-2.003,1
51,112.274,0.218,ADULT,-1,-0.218,1
53,122.295,0.305,ADULT,-1,-0.305,1
55,126.559,4.863,ADULT,-1,-4.863,1
56,131.662,1.433,ADULT,-1,-1.433,1
57,133.491,2.02,CHILD,1,2.02,1
58,133.513,0.10800000000000001,ADULT,-1,-0.10800000000000001,1
59,136.36,1.63,ADULT,-1,-1.63,1
60,137.627,1.173,ADULT,-1,-1.173,1
61,138.267,8.222999999999999,ADULT,-1,-8.222999999999999,1
62,143.512,0.602,ADULT,-1,-0.602,1
63,145.91,0.542,ADULT,-1,-0.542,1
64,146.011,0.179,CHILD,1,0.179,1
65,146.629,0.7709999999999999,CHILD,1,0.7709999999999999,1
66,147.422,0.626,ADULT,-1,-0.626,1
67,147.442,8.544,ADULT,-1,-8.544,1
68,148.171,0.289,ADULT,-1,-0.289,1
69,150.491,0.447,ADULT,-1,-0.447,1
70,152.99200000000002,6.468,ADULT,-1,-6.468,1
71,156.134,0.204,ADULT,-1,-0.204,1
72,158.993,1.996,ADULT,-1,-1.996,1
73,161.433,9.56,ADULT,-1,-9.56,1
75,171.37900000000002,4.269,ADULT,-1,-4.269,1
77,176.761,3.685,ADULT,-1,-3.685,1
79,179.75799999999998,2.035,ADULT,-1,-2.035,1
81,186.082,2.9010000000000002,ADULT,-1,-2.9010000000000002,1
82,186.41299999999998,0.579,ADULT,-1,-0.579,1
83,187.31099999999998,1.699,ADULT,-1,-1.699,1
84,192.011,3.395,ADULT,-1,-3.395,1
87,202.56799999999998,1.944,ADULT,-1,-1.944,1
88,202.583,2.2119999999999997,ADULT,-1,-2.2119999999999997,1
89,205.485,8.026,ADULT,-1,-8.026,1
92,213.665,18.817,ADULT,-1,-18.817,1
95,236.235,4.84,ADULT,-1,-4.84,1
98,242.011,0.223,ADULT,-1,-0.223,1
99,242.489,0.521,ADULT,-1,-0.521,1
100,243.105,2.786,ADULT,-1,-2.786,1
101,243.395,0.255,ADULT,-1,-0.255,1
102,245.511,1.5,ADULT,-1,-1.5,1
103,250.012,2.481,ADULT,-1,-2.481,1
106,259.246,0.879,CHILD,1,0.879,1
109,262.992,0.172,CHILD,1,0.172,1
110,263.085,11.602,ADULT,-1,-11.602,1
111,266.993,4.355,ADULT,-1,-4.355,1
112,275.01,9.001,ADULT,-1,-9.001,1
114,283.01099999999997,4.062,ADULT,-1,-4.062,1
115,285.491,10.5,ADULT,-1,-10.5,1
116,294.842,2.3930000000000002,ADULT,-1,-2.3930000000000002,1
117,296.536,3.4530000000000003,ADULT,-1,-3.4530000000000003,1
119,300.91200000000003,0.977,ADULT,-1,-0.977,1
120,301.01099999999997,0.7240000000000001,ADULT,-1,-0.7240000000000001,1
121,302.223,1.865,ADULT,-1,-1.865,1
122,303.566,3.9939999999999998,ADULT,-1,-3.9939999999999998,1
123,306.492,1.5190000000000001,ADULT,-1,-1.5190000000000001,1
124,307.707,7.784,ADULT,-1,-7.784,1
125,315.277,2.044,ADULT,-1,-2.044,1
127,318.099,1.5830000000000002,ADULT,-1,-1.5830000000000002,1
128,319.822,3.237,ADULT,-1,-3.237,1
129,320.259,4.732,ADULT,-1,-4.732,1
130,324.702,1.3259999999999998,ADULT,-1,-1.3259999999999998,1
131,325.539,0.847,CHILD,1,0.847,1
132,326.165,4.327,ADULT,-1,-4.327,1
134,329.99199999999996,0.245,CHILD,1,0.245,1
135,330.45599999999996,1.254,ADULT,-1,-1.254,1
137,333.01099999999997,1.598,ADULT,-1,-1.598,1
138,333.99199999999996,6.306,ADULT,-1,-6.306,1
139,339.55400000000003,1.618,ADULT,-1,-1.618,1
140,341.525,0.9670000000000001,ADULT,-1,-0.9670000000000001,1
141,341.69699999999995,2.0269999999999997,ADULT,-1,-2.0269999999999997,1
142,342.851,0.16,ADULT,-1,-0.16,1
143,343.99199999999996,7.4079999999999995,ADULT,-1,-7.4079999999999995,1
144,348.63199999999995,0.38,ADULT,-1,-0.38,1
145,351.01,4.981,ADULT,-1,-4.981,1
146,352.991,0.613,CHILD,1,0.613,1
147,355.01099999999997,5.481,ADULT,-1,-5.481,1
149,359.51199999999994,2.9989999999999997,ADULT,-1,-2.9989999999999997,1
150,362.249,3.761,ADULT,-1,-3.761,1
152,366.434,1.578,ADULT,-1,-1.578,1
153,367.51099999999997,0.653,CHILD,1,0.653,1
155,370.894,1.3430000000000002,ADULT,-1,-1.3430000000000002,1
157,372.49199999999996,2.0,ADULT,-1,-2.0,1
158,373.95,2.101,ADULT,-1,-2.101,1
159,375.99199999999996,0.6970000000000001,CHILD,1,0.6970000000000001,1
160,376.50199999999995,0.19899999999999998,ADULT,-1,-0.19899999999999998,1
161,376.99300000000005,2.351,ADULT,-1,-2.351,1
162,381.166,1.851,ADULT,-1,-1.851,1
164,383.135,6.856,ADULT,-1,-6.856,1
165,383.99199999999996,0.7040000000000001,CHILD,1,0.7040000000000001,1
166,384.485,0.418,CHILD,1,0.418,1
167,385.42,2.572,CHILD,1,2.572,1
168,389.163,1.367,CHILD,1,1.367,1
169,391.213,7.251,ADULT,-1,-7.251,1
171,398.014,2.157,CHILD,1,2.157,1
172,398.213,0.319,ADULT,-1,-0.319,1
173,398.491,1.2830000000000001,CHILD,1,1.2830000000000001,1
174,399.99199999999996,2.02,ADULT,-1,-2.02,1
175,400.83,4.1610000000000005,CHILD,1,4.1610000000000005,1
176,404.51099999999997,8.367,ADULT,-1,-8.367,1
177,406.51,0.231,CHILD,1,0.231,1
178,407.01199999999994,1.48,CHILD,1,1.48,1
179,409.759,0.251,ADULT,-1,-0.251,1
180,410.51099999999997,3.5,ADULT,-1,-3.5,1
181,413.21,0.599,ADULT,-1,-0.599,1
182,414.01099999999997,0.9990000000000001,CHILD,1,0.9990000000000001,1
183,414.18699999999995,0.12300000000000001,CHILD,1,0.12300000000000001,1
184,414.49199999999996,0.348,CHILD,1,0.348,1
185,415.338,1.1540000000000001,ADULT,-1,-1.1540000000000001,1
186,415.468,3.545,ADULT,-1,-3.545,1
187,418.964,3.947,CHILD,1,3.947,1
188,420.468,0.375,CHILD,1,0.375,1
189,421.61,3.108,ADULT,-1,-3.108,1
190,424.3,2.069,ADULT,-1,-2.069,1
191,424.842,0.267,ADULT,-1,-0.267,1
192,425.366,1.126,ADULT,-1,-1.126,1
193,427.029,0.138,ADULT,-1,-0.138,1
194,427.418,1.1640000000000001,ADULT,-1,-1.1640000000000001,1
195,427.712,1.281,CHILD,1,1.281,1
196,428.606,6.905,ADULT,-1,-6.905,1
197,433.225,0.25,ADULT,-1,-0.25,1
198,434.48400000000004,0.4,ADULT,-1,-0.4,1
201,440.11,1.068,CHILD,1,1.068,1
