,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
1,1.51,4.501,ADULT,-1,-4.501
3,7.801,6.832999999999999,ADULT,-1,-6.832999999999999
5,15.157,0.128,ADULT,-1,-0.128
6,15.508,4.484,ADULT,-1,-4.484
7,20.511999999999997,1.976,ADULT,-1,-1.976
8,23.895,4.638999999999999,ADULT,-1,-4.638999999999999
12,30.101999999999997,1.244,ADULT,-1,-1.244
13,31.737,1.9780000000000002,ADULT,-1,-1.9780000000000002
16,33.959,3.051,ADULT,-1,-3.051
17,36.43,1.107,ADULT,-1,-1.107
18,37.687,0.111,ADULT,-1,-0.111
20,38.168,3.655,ADULT,-1,-3.655
21,42.952,0.94,ADULT,-1,-0.94
23,43.997,0.795,ADULT,-1,-0.795
24,45.451,2.349,ADULT,-1,-2.349
27,52.383,1.7530000000000001,ADULT,-1,-1.7530000000000001
29,54.511,4.198,ADULT,-1,-4.198
31,59.231,1.2790000000000001,ADULT,-1,-1.2790000000000001
33,60.99100000000001,2.739,ADULT,-1,-2.739
35,64.486,4.921,ADULT,-1,-4.921
36,67.373,0.7509999999999999,ADULT,-1,-0.7509999999999999
38,74.311,1.239,ADULT,-1,-1.239
40,75.961,0.532,ADULT,-1,-0.532
42,77.387,2.6060000000000003,ADULT,-1,-2.6060000000000003
43,77.547,0.47100000000000003,ADULT,-1,-0.47100000000000003
48,81.764,6.747000000000001,ADULT,-1,-6.747000000000001
49,88.493,1.419,ADULT,-1,-1.419
52,90.109,0.9009999999999999,ADULT,-1,-0.9009999999999999
53,91.446,2.0669999999999997,ADULT,-1,-2.0669999999999997
55,93.74700000000001,2.128,ADULT,-1,-2.128
56,95.09700000000001,0.221,ADULT,-1,-0.221
57,96.775,2.978,ADULT,-1,-2.978
59,99.541,1.47,ADULT,-1,-1.47
61,103.829,0.6629999999999999,ADULT,-1,-0.6629999999999999
63,106.022,0.975,ADULT,-1,-0.975
64,106.993,0.653,ADULT,-1,-0.653
65,108.054,1.186,ADULT,-1,-1.186
66,109.51,0.226,ADULT,-1,-0.226
68,110.619,2.05,ADULT,-1,-2.05
70,120.035,0.67,CHILD,1,0.67
71,120.818,0.192,CHILD,1,0.192
72,121.01100000000001,0.9009999999999999,ADULT,-1,-0.9009999999999999
74,123.79,1.4240000000000002,ADULT,-1,-1.4240000000000002
75,125.54299999999999,3.449,ADULT,-1,-3.449
77,128.16899999999998,0.20800000000000002,CHILD,1,0.20800000000000002
78,130.511,0.47600000000000003,ADULT,-1,-0.47600000000000003
80,131.51,1.814,ADULT,-1,-1.814
82,133.743,0.415,CHILD,1,0.415
84,134.634,3.377,ADULT,-1,-3.377
85,134.636,0.111,CHILD,1,0.111
86,138.394,5.599,ADULT,-1,-5.599
88,144.251,0.11,ADULT,-1,-0.11
90,145.99200000000002,0.518,ADULT,-1,-0.518
92,148.576,0.478,ADULT,-1,-0.478
94,150.30100000000002,1.463,ADULT,-1,-1.463
