,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
1,0.557,0.528,ADULT,-1,-0.528
2,1.8330000000000002,8.873,ADULT,-1,-8.873
4,12.992,1.554,ADULT,-1,-1.554
6,14.05,0.172,ADULT,-1,-0.172
7,14.394,0.138,ADULT,-1,-0.138
8,15.164000000000001,0.9570000000000001,ADULT,-1,-0.9570000000000001
10,16.077,0.466,ADULT,-1,-0.466
13,19.7,0.469,ADULT,-1,-0.469
14,19.712,1.2990000000000002,CHILD,1,1.2990000000000002
15,20.491,0.825,CHILD,1,0.825
16,26.823,2.585,ADULT,-1,-2.585
18,30.993000000000002,4.018,ADULT,-1,-4.018
21,35.335,2.211,ADULT,-1,-2.211
22,37.510999999999996,2.975,ADULT,-1,-2.975
