,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
0,5.511,6.5,ADULT,-1,-6.5
3,12.115,0.16399999999999998,ADULT,-1,-0.16399999999999998
4,12.225999999999999,3.766,CHILD,1,3.766
5,13.115,0.705,CHILD,1,0.705
6,14.342,0.147,CHILD,1,0.147
7,14.734000000000002,0.258,CHILD,1,0.258
8,16.284000000000002,1.051,ADULT,-1,-1.051
9,16.985,0.115,CHILD,1,0.115
10,16.991,0.648,CHILD,1,0.648
11,17.272000000000002,0.327,CHILD,1,0.327
12,17.872,1.62,CHILD,1,1.62
13,18.838,0.174,ADULT,-1,-0.174
14,19.011,12.765999999999998,ADULT,-1,-12.765999999999998
16,33.010999999999996,5.981,ADULT,-1,-5.981
17,33.239000000000004,0.753,ADULT,-1,-0.753
18,38.443000000000005,1.568,CHILD,1,1.568
19,41.011,5.481,ADULT,-1,-5.481
21,47.051,2.46,CHILD,1,2.46
22,52.012,11.873,ADULT,-1,-11.873
24,69.01,20.073,ADULT,-1,-20.073
27,90.318,5.672999999999999,CHILD,1,5.672999999999999
28,90.492,0.518,CHILD,1,0.518
29,92.5,0.93,CHILD,1,0.93
30,94.14200000000001,0.349,CHILD,1,0.349
31,96.491,10.52,ADULT,-1,-10.52
32,100.3,1.097,CHILD,1,1.097
33,106.473,0.364,CHILD,1,0.364
34,107.354,1.758,ADULT,-1,-1.758
35,109.01100000000001,3.247,ADULT,-1,-3.247
37,112.415,2.707,ADULT,-1,-2.707
38,115.059,0.732,CHILD,1,0.732
39,115.09100000000001,0.8859999999999999,CHILD,1,0.8859999999999999
40,115.265,3.903,ADULT,-1,-3.903
42,119.40799999999999,2.6039999999999996,CHILD,1,2.6039999999999996
43,121.461,0.565,CHILD,1,0.565
45,122.791,0.7929999999999999,CHILD,1,0.7929999999999999
46,122.811,1.681,CHILD,1,1.681
47,124.51100000000001,2.501,ADULT,-1,-2.501
48,126.99799999999999,1.012,CHILD,1,1.012
49,127.48200000000001,0.528,CHILD,1,0.528
51,128.707,0.27699999999999997,CHILD,1,0.27699999999999997
53,130.99200000000002,0.778,ADULT,-1,-0.778
54,131.993,0.606,CHILD,1,0.606
55,132.084,0.42700000000000005,CHILD,1,0.42700000000000005
56,132.99200000000002,1.5190000000000001,CHILD,1,1.5190000000000001
57,133.922,2.0709999999999997,CHILD,1,2.0709999999999997
58,135.99200000000002,0.287,ADULT,-1,-0.287
59,136.434,0.174,ADULT,-1,-0.174
60,136.836,0.948,ADULT,-1,-0.948
61,138.512,4.533,ADULT,-1,-4.533
62,143.512,3.5180000000000002,ADULT,-1,-3.5180000000000002
64,147.493,5.2620000000000005,CHILD,1,5.2620000000000005
65,151.49200000000002,3.645,ADULT,-1,-3.645
66,153.762,1.249,CHILD,1,1.249
67,155.01,2.086,CHILD,1,2.086
68,155.245,0.10800000000000001,ADULT,-1,-0.10800000000000001
69,156.895,1.115,CHILD,1,1.115
70,157.25799999999998,0.235,CHILD,1,0.235
71,157.57,12.44,ADULT,-1,-12.44
72,163.877,0.115,ADULT,-1,-0.115
73,169.99,0.255,CHILD,1,0.255
74,170.142,0.19399999999999998,ADULT,-1,-0.19399999999999998
76,170.697,2.1430000000000002,CHILD,1,2.1430000000000002
77,173.269,1.742,ADULT,-1,-1.742
78,174.511,3.388,CHILD,1,3.388
79,176.308,1.183,ADULT,-1,-1.183
80,179.99200000000002,0.581,CHILD,1,0.581
82,180.993,4.177,CHILD,1,4.177
83,181.05200000000002,1.455,CHILD,1,1.455
84,181.49200000000002,0.499,ADULT,-1,-0.499
85,182.704,0.23,CHILD,1,0.23
86,183.511,1.591,CHILD,1,1.591
87,185.453,0.54,ADULT,-1,-0.54
88,185.46,0.258,CHILD,1,0.258
89,186.011,8.481,ADULT,-1,-8.481
90,194.493,1.5190000000000001,ADULT,-1,-1.5190000000000001
91,194.601,0.38,CHILD,1,0.38
92,194.99099999999999,0.862,CHILD,1,0.862
93,196.894,1.617,ADULT,-1,-1.617
94,196.99200000000002,0.9209999999999999,CHILD,1,0.9209999999999999
95,198.08700000000002,0.196,CHILD,1,0.196
98,200.99099999999999,6.607,ADULT,-1,-6.607
99,207.71400000000003,0.214,ADULT,-1,-0.214
101,209.59799999999998,3.952,CHILD,1,3.952
103,210.791,0.7040000000000001,ADULT,-1,-0.7040000000000001
104,212.51,0.937,CHILD,1,0.937
105,213.511,5.478,ADULT,-1,-5.478
106,218.66,1.851,CHILD,1,1.851
107,219.203,0.165,CHILD,1,0.165
