,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
0,0.01,0.501,CHILD,1,0.501
1,0.01,1.66,CHILD,1,1.66
3,2.805,0.662,CHILD,1,0.662
4,3.011,0.21600000000000003,CHILD,1,0.21600000000000003
5,3.512,2.98,CHILD,1,2.98
6,4.187,0.324,ADULT,-1,-0.324
7,6.505,1.3430000000000002,ADULT,-1,-1.3430000000000002
8,6.841,0.8390000000000001,CHILD,1,0.8390000000000001
10,9.401,0.292,CHILD,1,0.292
12,10.770999999999999,2.221,CHILD,1,2.221
13,10.798,1.642,CHILD,1,1.642
15,20.576999999999998,0.898,CHILD,1,0.898
17,30.131999999999998,0.861,CHILD,1,0.861
19,41.511,3.4810000000000003,ADULT,-1,-3.4810000000000003
20,41.56100000000001,0.8370000000000001,ADULT,-1,-0.8370000000000001
21,47.574,0.19399999999999998,CHILD,1,0.19399999999999998
22,55.461000000000006,0.96,CHILD,1,0.96
24,59.685,1.807,CHILD,1,1.807
26,68.992,1.7209999999999999,ADULT,-1,-1.7209999999999999
28,70.08,0.111,ADULT,-1,-0.111
31,80.53399999999999,0.655,CHILD,1,0.655
32,81.457,0.5529999999999999,CHILD,1,0.5529999999999999
33,81.493,1.5190000000000001,ADULT,-1,-1.5190000000000001
36,85.492,0.311,CHILD,1,0.311
39,87.18799999999999,8.147,CHILD,1,8.147
40,88.992,1.0190000000000001,CHILD,1,1.0190000000000001
42,96.766,8.613,CHILD,1,8.613
43,96.869,1.87,CHILD,1,1.87
44,98.844,0.14800000000000002,CHILD,1,0.14800000000000002
46,103.493,1.8459999999999999,CHILD,1,1.8459999999999999
47,106.01,3.5,CHILD,1,3.5
50,109.088,4.423,ADULT,-1,-4.423
51,113.01,0.8390000000000001,CHILD,1,0.8390000000000001
52,113.76299999999999,0.14,ADULT,-1,-0.14
54,115.992,2.003,CHILD,1,2.003
55,119.01100000000001,3.009,ADULT,-1,-3.009
57,121.492,6.519,CHILD,1,6.519
58,126.51,0.81,ADULT,-1,-0.81
59,127.49600000000001,0.39,ADULT,-1,-0.39
60,128.55700000000002,0.953,ADULT,-1,-0.953
61,128.793,1.218,CHILD,1,1.218
62,131.011,7.501,ADULT,-1,-7.501
64,138.086,4.074,CHILD,1,4.074
65,138.74,0.272,CHILD,1,0.272
66,139.49200000000002,2.195,ADULT,-1,-2.195
67,141.791,0.221,ADULT,-1,-0.221
68,142.493,6.519,CHILD,1,6.519
69,149.126,1.2790000000000001,CHILD,1,1.2790000000000001
