,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,1.011,3.7430000000000003,ADULT,-1,-3.7430000000000003,1
2,1.406,0.175,ADULT,-1,-0.175,1
3,4.011,2.0,ADULT,-1,-2.0,1
4,4.86,3.6519999999999997,ADULT,-1,-3.6519999999999997,1
5,9.097000000000001,1.396,ADULT,-1,-1.396,1
6,10.645,0.226,ADULT,-1,-0.226,1
9,13.51,1.001,CHILD,1,1.001,1
10,14.492,1.561,ADULT,-1,-1.561,1
11,18.012,6.507000000000001,ADULT,-1,-6.507000000000001,1
15,25.491,0.461,ADULT,-1,-0.461,1
16,27.493000000000002,0.19699999999999998,ADULT,-1,-0.19699999999999998,1
17,29.585,0.26,CHILD,1,0.26,1
18,32.633,2.378,ADULT,-1,-2.378,1
19,32.992,0.39,ADULT,-1,-0.39,1
20,33.775,18.714000000000002,ADULT,-1,-18.714000000000002,1
22,53.762,0.9059999999999999,ADULT,-1,-0.9059999999999999,1
24,54.992,2.44,ADULT,-1,-2.44,1
25,56.992,5.781000000000001,ADULT,-1,-5.781000000000001,1
26,63.511,3.4810000000000003,ADULT,-1,-3.4810000000000003,1
27,66.012,12.979000000000001,ADULT,-1,-12.979000000000001,1
28,67.152,0.33899999999999997,ADULT,-1,-0.33899999999999997,1
30,78.705,4.649,ADULT,-1,-4.649,1
31,79.10300000000001,1.649,ADULT,-1,-1.649,1
32,83.079,5.6579999999999995,ADULT,-1,-5.6579999999999995,1
34,87.48200000000001,0.113,ADULT,-1,-0.113,1
35,87.863,0.7490000000000001,ADULT,-1,-0.7490000000000001,1
36,89.25200000000001,0.20800000000000002,CHILD,1,0.20800000000000002,1
37,89.492,0.265,ADULT,-1,-0.265,1
38,90.01100000000001,6.803999999999999,ADULT,-1,-6.803999999999999,1
39,97.991,5.5,ADULT,-1,-5.5,1
44,103.992,4.501,CHILD,1,4.501,1
45,104.51,1.5,CHILD,1,1.5,1
46,105.53,0.9570000000000001,ADULT,-1,-0.9570000000000001,1
47,108.01,4.6930000000000005,ADULT,-1,-4.6930000000000005,1
48,108.898,0.569,CHILD,1,0.569,1
49,109.87700000000001,0.597,CHILD,1,0.597,1
50,112.663,1.92,CHILD,1,1.92,1
51,113.73200000000001,0.47200000000000003,CHILD,1,0.47200000000000003,1
52,114.51,1.9880000000000002,ADULT,-1,-1.9880000000000002,1
53,115.51100000000001,2.481,CHILD,1,2.481,1
54,116.71600000000001,2.276,ADULT,-1,-2.276,1
