,ytid,marvin_classes,labels,tot_speech_ct,child_speech_ct,female_speech_ct,male_speech_ct,other_speech_ct,silence_ct
0,--BfvyPmVMo,['not_speech'],['Hammer'],0,0,0,0,0,0
1,--U7joUcTCo,['not_speech'],['Cough'],0,0,0,0,0,0
2,--i-y1v8Hy8,"['not_speech', 'speech', 'not_speech', 'not_speech']","['Music', 'Speech', 'Female singing', 'Child singing']",1,0,0,0,1,0
3,-0BIyqJj9ZU,"['not_speech', 'not_speech', 'not_speech']","['Chuckle, chortle', 'Belly laugh', 'Baby laughter']",0,0,0,0,0,0
4,-0CamVQdP_Y,"['not_speech', 'not_speech', 'speech']","['Music', 'Walk, footsteps', 'Speech']",1,0,0,0,1,0
5,-0Gj8-vB1q4,"['not_speech', 'not_speech', 'not_speech']","['Christmas music', 'Theme music', 'Music']",0,0,0,0,0,0
6,-0RWZT-miFs,"['not_speech', 'not_speech']","['Keys jangling', 'Car']",0,0,0,0,0,0
7,-0YUDn-1yII,"['not_speech', 'not_speech']","['Theme music', 'Music']",0,0,0,0,0,0
8,-0jeONf82dE,"['not_speech', 'not_speech', 'not_speech', 'speech', 'not_speech']","['Horse', 'Music', 'Neigh, whinny', 'Speech', 'Animal']",1,0,0,0,1,0
9,-0nqfRcnAYE,['not_speech'],"['Dishes, pots, and pans']",0,0,0,0,0,0
10,-0p7hKXZ1ww,"['not_speech', 'speech']","['Firecracker', 'Speech']",1,0,0,0,1,0
11,-0vPFx-wRRI,"['not_speech', 'not_speech']","['Finger snapping', 'Music']",0,0,0,0,0,0
12,-0xzrMun0Rs,"['not_speech', 'not_speech']","['Stomach rumble', 'Music']",0,0,0,0,0,0
13,-0yRK50zyTI,"['not_speech', 'speech']","['Crackle', 'Speech']",1,0,0,0,1,0
14,-116CjQ3MAg,"['not_speech', 'not_speech', 'not_speech']","['Bird', 'White noise', 'Outside, urban or manmade']",0,0,0,0,0,0
15,-1EXhfqLLwQ,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Bathtub (filling or washing)', 'Domestic animals, pets', 'Fill (with liquid)', 'Pump (liquid)', 'Water', 'Animal', 'Gush']",0,0,0,0,0,0
16,-1Hub6Ps_cc,"['not_speech', 'not_speech', 'speech', 'not_speech', 'not_speech']","['Sink (filling or washing)', 'Water tap, faucet', 'Speech', 'Hands', 'Inside, small room']",1,0,0,0,1,0
17,-1LQP2wemiQ,"['not_speech', 'female_speech', 'speech']","['Beep, bleep', 'Female speech, woman speaking', 'Speech']",2,0,1,0,1,0
18,-1OlgJWehn8,"['not_speech', 'not_speech']","['Music', 'Radio']",0,0,0,0,0,0
19,-1PZQg5Gi8A,['not_speech'],"['Smash, crash']",0,0,0,0,0,0
20,-1UWSisR2zo,"['not_speech', 'not_speech']","['Music', 'Maraca']",0,0,0,0,0,0
21,-1hDIl9Udkw,"['not_speech', 'not_speech', 'speech']","['Music', 'Rattle', 'Speech']",1,0,0,0,1,0
22,-1nilez17Dg,"['not_speech', 'speech']","['Heart murmur', 'Speech']",1,0,0,0,1,0
23,-1pRmoJIGQc,"['not_speech', 'not_speech', 'not_speech']","['Engine knocking', 'Engine', 'Idling']",0,0,0,0,0,0
24,-21_SXelVNo,"['not_speech', 'speech']","['Sniff', 'Speech']",1,0,0,0,1,0
25,-22tna7KHzI,['not_speech'],['Explosion'],0,0,0,0,0,0
26,-2EKWgTNEYU,['not_speech'],['Radio'],0,0,0,0,0,0
27,-2sE5CH8Wb8,"['not_speech', 'not_speech', 'not_speech']","['Reversing beeps', 'Truck', 'Vehicle']",0,0,0,0,0,0
28,-3-4qmWSJXU,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Rain', 'Thunderstorm', 'Thunder', 'Rain on surface']",0,0,0,0,0,0
29,-36qTeAdDMI,"['not_speech', 'speech', 'not_speech']","['Telephone', 'Speech', 'Inside, small room']",1,0,0,0,1,0
30,-3Kv4fdm7Uk,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Musical instrument', 'Steelpan']",0,0,0,0,0,0
31,-3YWuPXHknk,"['not_speech', 'not_speech']","['Engine', 'Engine starting']",0,0,0,0,0,0
32,-3nXxwBlX5A,['not_speech'],['Wedding music'],0,0,0,0,0,0
33,-3nyUrKWFEE,"['not_speech', 'not_speech']","['Steam whistle', 'Steam']",0,0,0,0,0,0
34,-3rHVsIj1M8,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Boat, Water vehicle', 'Wind', 'Ship', 'Wind noise (microphone)']",0,0,0,0,0,0
35,-3z5mFRgbxc,"['not_speech', 'not_speech', 'speech', 'not_speech']","['Bus', 'Vehicle', 'Speech', 'Traffic noise, roadway noise']",1,0,0,0,1,0
36,-47nPCeukVc,"['not_speech', 'not_speech']","['Vehicle', 'Air brake']",0,0,0,0,0,0
37,-4SYC2YgzL8,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Wedding music', 'Classical music']",0,0,0,0,0,0
38,-4kkGS4-qVM,"['not_speech', 'not_speech', 'not_speech']","['Clarinet', 'Wind instrument, woodwind instrument', 'Shofar']",0,0,0,0,0,0
39,-4pmCrSdMhg,"['not_speech', 'not_speech', 'speech']","['Music', 'Clip-clop', 'Speech']",1,0,0,0,1,0
40,-4viN_EoxOA,"['not_speech', 'not_speech']","['Brass instrument', 'Saxophone']",0,0,0,0,0,0
41,-53zl3bPmpM,"['not_speech', 'not_speech', 'speech']","['Music', 'Bang', 'Speech']",1,0,0,0,1,0
42,-5CGQGSFGyg,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Organ', 'Electric piano', 'Electronic organ', 'Keyboard (musical)', 'Piano']",0,0,0,0,0,0
43,-5FoeegAgvU,"['not_speech', 'not_speech']","['Music', 'Thunk']",0,0,0,0,0,0
44,-5PZ_Bh-M6o,['not_speech'],"['Heart sounds, heartbeat']",0,0,0,0,0,0
45,-65CfQUX9Ng,['not_speech'],['Pour'],0,0,0,0,0,0
46,-6Aq2fJwlgU,"['not_speech', 'not_speech']","['Smash, crash', 'Whack, thwack']",0,0,0,0,0,0
47,-6GcdDStIwM,"['not_speech', 'not_speech']","[""Dental drill, dentist's drill"", 'Sound effect']",0,0,0,0,0,0
48,-6HBGg1cAI0,"['not_speech', 'not_speech', 'not_speech']","['Traditional music', 'Music', 'Middle Eastern music']",0,0,0,0,0,0
49,-6JnAxTXApw,['not_speech'],['White noise'],0,0,0,0,0,0
50,-6cTEqIcics,"['not_speech', 'not_speech']","['Siren', 'Civil defense siren']",0,0,0,0,0,0
51,-7B9tPuIP-w,"['not_speech', 'not_speech', 'not_speech']","['Blues', 'Music', 'Yell']",0,0,0,0,0,0
52,-7IhwezUrUA,['not_speech'],"['Cutlery, silverware']",0,0,0,0,0,0
53,-7TanrCbmME,"['not_speech', 'speech', 'not_speech']","['Music', 'Speech', 'Child singing']",1,0,0,0,1,0
54,-7YESdyyHVw,['not_speech'],['Cowbell'],0,0,0,0,0,0
55,-7vpNApSN8g,"['not_speech', 'not_speech']","[""Dental drill, dentist's drill"", 'Inside, small room']",0,0,0,0,0,0
56,-88me9bBzrk,"['not_speech', 'not_speech']","['Carnatic music', 'Music']",0,0,0,0,0,0
57,-8C-gydUbR8,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Music', 'Male singing', 'Female singing', 'Child singing']",0,0,0,0,0,0
58,-8Ds_ZrtQ9M,['not_speech'],['Mechanical fan'],0,0,0,0,0,0
59,-8Mzg0pjOzc,"['not_speech', 'not_speech', 'speech']","['Music', ""Dental drill, dentist's drill"", 'Speech']",1,0,0,0,1,0
60,-8cgbhIR_pw,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Acoustic guitar', 'Music', 'Musical instrument', 'Steel guitar, slide guitar', 'Strum', 'Plucked string instrument', 'Tender music']",0,0,0,0,0,0
61,-8pCMgGKZY8,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'speech', 'not_speech', 'not_speech']","['Music', 'Domestic animals, pets', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Animal', 'Whimper (dog)']",1,0,0,0,1,0
62,-8s8gqSkRzI,['not_speech'],['Gasp'],0,0,0,0,0,0
63,-95a1RB0jHs,"['not_speech', 'not_speech']","['Explosion', 'Eruption']",0,0,0,0,0,0
64,-98gqe2LWcg,"['not_speech', 'not_speech']","['Liquid', 'Boiling']",0,0,0,0,0,0
65,-9GUUhB3QV0,"['not_speech', 'not_speech', 'not_speech']","['Emergency vehicle', 'Siren', 'Police car (siren)']",0,0,0,0,0,0
66,-9O1cb8z7Mk,['not_speech'],['Fusillade'],0,0,0,0,0,0
67,-9mHz0OsKKw,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Toot', 'Vehicle', 'Car', 'Outside, urban or manmade']",0,0,0,0,0,0
68,-9phJ0sJrXg,['not_speech'],['Synthetic singing'],0,0,0,0,0,0
69,-A-Un_X21lU,"['not_speech', 'not_speech', 'not_speech']","['Sawing', 'Rub', 'Wood']",0,0,0,0,0,0
70,-A1o1Egi20c,['not_speech'],['Church bell'],0,0,0,0,0,0
71,-A3zsFeU_OI,"['not_speech', 'speech']","['Snicker', 'Speech']",1,0,0,0,1,0
72,-ABOfhcXwt8,"['not_speech', 'speech']","['Run', 'Speech']",1,0,0,0,1,0
73,-ANxUxvGASw,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Subway, metro, underground', 'Railroad car, train wagon', 'Rail transport', 'Train', 'Clickety-clack', 'Train wheels squealing']",0,0,0,0,0,0
74,-AeiYb4vDK0,"['not_speech', 'not_speech', 'speech', 'not_speech', 'not_speech']","['Chewing, mastication', 'Biting', 'Speech', 'Animal', 'Outside, rural or natural']",1,0,0,0,1,0
75,-Am9MfJ6Z2o,['not_speech'],"['Cutlery, silverware']",0,0,0,0,0,0
76,-BAF0DHMqVA,['not_speech'],['Bell'],0,0,0,0,0,0
77,-BHPu-dPmWQ,"['not_speech', 'not_speech']","['Music', 'Funny music']",0,0,0,0,0,0
78,-BWhd7Q43tE,['not_speech'],['Toothbrush'],0,0,0,0,0,0
79,-BY64_p-vtM,"['not_speech', 'not_speech', 'speech', 'not_speech']","['Truck', 'Vehicle', 'Speech', 'Microwave oven']",1,0,0,0,1,0
80,-Bu7YaslRW0,"['not_speech', 'not_speech', 'not_speech']","['Background music', 'Theme music', 'Music']",0,0,0,0,0,0
81,-Bx_-I7sB5k,"['not_speech', 'speech', 'not_speech', 'not_speech']","['Music', 'Speech', 'Hands', 'Inside, small room']",1,0,0,0,1,0
82,-By6I234TSs,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Pulse', 'Synthesizer']",0,0,0,0,0,0
83,-ByoSbgzr4M,"['not_speech', 'not_speech']","['Tapping (guitar technique)', 'Music']",0,0,0,0,0,0
84,-COelgvUEW4,"['not_speech', 'not_speech']","['Music', 'Female singing']",0,0,0,0,0,0
85,-CZ1LIc8aos,['not_speech'],['Car passing by'],0,0,0,0,0,0
86,-Cdx8zogHI0,"['not_speech', 'not_speech', 'speech']","['Breaking', 'Shatter', 'Speech']",1,0,0,0,1,0
87,-Cr0wim-lIQ,['not_speech'],['Change ringing (campanology)'],0,0,0,0,0,0
88,-D--GWwca0g,"['not_speech', 'not_speech', 'speech']","['Music', 'Eruption', 'Speech']",1,0,0,0,1,0
89,-DSNfC2EJhU,"['not_speech', 'not_speech']","['Toilet flush', 'Water']",0,0,0,0,0,0
90,-DnZ_ZY3lgA,['not_speech'],['Timpani'],0,0,0,0,0,0
91,-E35OMfL4A4,"['not_speech', 'not_speech']","['Music', 'Mouse']",0,0,0,0,0,0
92,-EVRXQpt1-8,"['not_speech', 'not_speech', 'not_speech']","['Yodeling', 'Music', 'Inside, large room or hall']",0,0,0,0,0,0
93,-EdnWQqlerc,['not_speech'],['Noise'],0,0,0,0,0,0
94,-EgyhJoKuRU,['not_speech'],['Bang'],0,0,0,0,0,0
95,-F7sBonFvVw,['not_speech'],['Boiling'],0,0,0,0,0,0
96,-FITRqeXl9Q,"['not_speech', 'not_speech']","['Snoring', 'Purr']",0,0,0,0,0,0
97,-FKrYTj_eCU,['speech'],['Screaming'],1,0,0,0,1,0
98,-Fy2i3zpYdY,['not_speech'],['Tuning fork'],0,0,0,0,0,0
99,-G04QpzSpbU,"['not_speech', 'child_speech']","['Purr', 'Child speech, kid speaking']",1,1,0,0,0,0
100,-G3tJhsHtKU,['not_speech'],"['Jingle, tinkle']",0,0,0,0,0,0
101,-GVRoRILVD4,"['speech', 'not_speech']","['Singing', 'Opera']",1,0,0,0,1,0
102,-Gf4Ihv1zwc,"['not_speech', 'not_speech']","['Music', 'Tender music']",0,0,0,0,0,0
103,-Gr9P8Abnlk,"['not_speech', 'not_speech']","['Toilet flush', 'Water']",0,0,0,0,0,0
104,-HAoExLVs6Q,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Railroad car, train wagon', 'Rail transport', 'Train', 'Train wheels squealing']",0,0,0,0,0,0
105,-HKAgW-vzSI,"['not_speech', 'speech']","[""Dental drill, dentist's drill"", 'Speech']",1,0,0,0,1,0
106,-HWygXWSNRA,"['not_speech', 'not_speech']","['Car', 'Medium engine (mid frequency)']",0,0,0,0,0,0
107,-IKnJa9U66I,"['not_speech', 'speech', 'not_speech', 'not_speech']","['Music', 'Speech', 'Sewing machine', 'Light engine (high frequency)']",1,0,0,0,1,0
108,-IVxwkTcpp4,"['not_speech', 'not_speech']","['Ringtone', 'Music']",0,0,0,0,0,0
109,-IZbvEO9wzU,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Female singing', 'Child singing']",0,0,0,0,0,0
110,-IeSZuZNhPw,"['not_speech', 'not_speech', 'not_speech']","['Engine', 'Rattle', 'Vehicle']",0,0,0,0,0,0
