,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,6.105,0.775,ADULT,-1,-0.775,1
2,6.332999999999999,0.177,CHILD,1,0.177,1
3,6.755,0.23600000000000002,CHILD,1,0.23600000000000002,1
5,9.624,0.648,ADULT,-1,-0.648,1
6,12.488,1.963,ADULT,-1,-1.963,1
10,18.37,1.6219999999999999,ADULT,-1,-1.6219999999999999,1
12,22.85,0.23,ADULT,-1,-0.23,1
13,25.392,1.107,ADULT,-1,-1.107,1
16,27.451999999999998,4.862,ADULT,-1,-4.862,1
17,29.076999999999998,0.429,CHILD,1,0.429,1
18,29.991999999999997,0.5,CHILD,1,0.5,1
19,31.772,0.47100000000000003,CHILD,1,0.47100000000000003,1
20,32.466,6.659,ADULT,-1,-6.659,1
21,36.042,0.419,ADULT,-1,-0.419,1
22,36.650999999999996,0.12300000000000001,ADULT,-1,-0.12300000000000001,1
23,37.164,0.12,ADULT,-1,-0.12,1
24,38.62,0.326,CHILD,1,0.326,1
26,39.319,12.272,ADULT,-1,-12.272,1
27,49.312,0.877,ADULT,-1,-0.877,1
28,51.288000000000004,1.5659999999999998,CHILD,1,1.5659999999999998,1
29,52.242,4.907,ADULT,-1,-4.907,1
31,61.479,1.1420000000000001,CHILD,1,1.1420000000000001,1
32,62.011,19.482,ADULT,-1,-19.482,1
33,78.666,0.34600000000000003,CHILD,1,0.34600000000000003,1
34,80.958,0.179,CHILD,1,0.179,1
35,81.10600000000001,1.883,ADULT,-1,-1.883,1
36,82.681,19.756,ADULT,-1,-19.756,1
37,91.704,0.275,ADULT,-1,-0.275,1
38,101.512,1.531,CHILD,1,1.531,1
39,102.178,0.7040000000000001,CHILD,1,0.7040000000000001,1
40,102.845,5.627999999999999,ADULT,-1,-5.627999999999999,1
41,103.179,0.813,CHILD,1,0.813,1
44,110.384,10.127,ADULT,-1,-10.127,1
45,120.493,0.5,CHILD,1,0.5,1
46,120.493,1.554,CHILD,1,1.554,1
47,120.68299999999999,1.218,ADULT,-1,-1.218,1
48,121.51,1.1440000000000001,CHILD,1,1.1440000000000001,1
49,122.16,0.332,CHILD,1,0.332,1
50,122.492,11.58,ADULT,-1,-11.58,1
51,123.572,0.415,CHILD,1,0.415,1
52,129.627,0.13,CHILD,1,0.13,1
53,131.232,0.127,ADULT,-1,-0.127,1
54,131.475,3.613,ADULT,-1,-3.613,1
55,134.312,17.489,ADULT,-1,-17.489,1
56,137.833,1.105,ADULT,-1,-1.105,1
