,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,10.437000000000001,3.574,CHILD,1,3.574,1
3,14.767000000000001,2.963,CHILD,1,2.963,1
4,14.992,0.326,ADULT,-1,-0.326,1
5,15.992,0.518,CHILD,1,0.518,1
6,18.789,1.541,CHILD,1,1.541,1
8,20.511999999999997,2.548,CHILD,1,2.548,1
10,22.011999999999997,0.535,ADULT,-1,-0.535,1
11,23.325,4.187,CHILD,1,4.187,1
13,35.65,2.842,ADULT,-1,-2.842,1
14,38.435,2.126,CHILD,1,2.126,1
16,40.67,0.285,CHILD,1,0.285,1
17,43.511,4.477,ADULT,-1,-4.477,1
19,46.511,0.785,ADULT,-1,-0.785,1
21,51.511,4.534,ADULT,-1,-4.534,1
22,53.381,9.254,ADULT,-1,-9.254,1
23,63.428000000000004,2.563,CHILD,1,2.563,1
24,65.991,9.42,ADULT,-1,-9.42,1
25,68.992,0.462,ADULT,-1,-0.462,1
26,72.51,1.131,ADULT,-1,-1.131,1
27,73.968,0.9329999999999999,ADULT,-1,-0.9329999999999999,1
29,76.282,1.21,ADULT,-1,-1.21,1
30,76.505,5.007,ADULT,-1,-5.007,1
31,80.492,2.519,ADULT,-1,-2.519,1
32,82.991,3.611,ADULT,-1,-3.611,1
33,86.01,2.438,ADULT,-1,-2.438,1
34,86.854,0.13,ADULT,-1,-0.13,1
35,88.493,3.306,ADULT,-1,-3.306,1
36,89.96700000000001,2.7289999999999996,ADULT,-1,-2.7289999999999996,1
37,92.03299999999999,19.958,ADULT,-1,-19.958,1
38,92.87700000000001,0.135,ADULT,-1,-0.135,1
39,93.155,0.33799999999999997,ADULT,-1,-0.33799999999999997,1
40,97.57799999999999,1.433,ADULT,-1,-1.433,1
41,100.492,0.705,ADULT,-1,-0.705,1
42,104.914,1.669,ADULT,-1,-1.669,1
43,106.704,0.289,ADULT,-1,-0.289,1
44,109.699,0.233,ADULT,-1,-0.233,1
45,118.51100000000001,4.627,ADULT,-1,-4.627,1
47,121.47,0.494,ADULT,-1,-0.494,1
48,122.619,0.972,ADULT,-1,-0.972,1
49,125.51100000000001,32.478,ADULT,-1,-32.478,1
51,126.64,0.121,ADULT,-1,-0.121,1
52,130.197,0.813,ADULT,-1,-0.813,1
53,134.511,0.7659999999999999,ADULT,-1,-0.7659999999999999,1
54,135.493,0.106,ADULT,-1,-0.106,1
55,136.048,0.444,ADULT,-1,-0.444,1
56,136.69899999999998,0.312,ADULT,-1,-0.312,1
57,145.511,2.481,ADULT,-1,-2.481,1
58,160.785,2.226,ADULT,-1,-2.226,1
60,162.567,2.425,ADULT,-1,-2.425,1
61,163.99099999999999,3.5,ADULT,-1,-3.5,1
62,165.378,0.133,CHILD,1,0.133,1
63,166.49200000000002,0.324,ADULT,-1,-0.324,1
64,168.72,12.292,ADULT,-1,-12.292,1
65,177.685,0.307,ADULT,-1,-0.307,1
66,178.18,0.731,ADULT,-1,-0.731,1
68,184.572,0.42,ADULT,-1,-0.42,1
69,185.49,0.732,ADULT,-1,-0.732,1
71,186.75099999999998,0.899,ADULT,-1,-0.899,1
72,189.493,4.018,ADULT,-1,-4.018,1
74,193.99200000000002,1.365,ADULT,-1,-1.365,1
75,195.512,1.807,ADULT,-1,-1.807,1
76,199.511,1.235,ADULT,-1,-1.235,1
79,202.576,0.376,CHILD,1,0.376,1
80,202.843,2.845,ADULT,-1,-2.845,1
81,210.05700000000002,0.434,ADULT,-1,-0.434,1
83,214.49,0.501,CHILD,1,0.501,1
84,214.512,18.5,ADULT,-1,-18.5,1
85,217.91,0.226,ADULT,-1,-0.226,1
86,231.56400000000002,0.7090000000000001,ADULT,-1,-0.7090000000000001,1
87,234.49200000000002,7.496,ADULT,-1,-7.496,1
89,239.745,0.19699999999999998,ADULT,-1,-0.19699999999999998,1
90,242.178,7.314,ADULT,-1,-7.314,1
92,249.49200000000002,3.201,ADULT,-1,-3.201,1
93,250.445,0.498,ADULT,-1,-0.498,1
94,252.799,8.711,ADULT,-1,-8.711,1
95,252.89,1.011,ADULT,-1,-1.011,1
96,261.812,0.18100000000000002,ADULT,-1,-0.18100000000000002,1
97,262.178,10.437000000000001,ADULT,-1,-10.437000000000001,1
100,276.372,5.138,ADULT,-1,-5.138,1
101,278.70799999999997,1.051,ADULT,-1,-1.051,1
102,280.808,0.621,CHILD,1,0.621,1
103,282.066,1.31,ADULT,-1,-1.31,1
104,283.012,0.19399999999999998,ADULT,-1,-0.19399999999999998,1
107,288.492,4.501,ADULT,-1,-4.501,1
108,294.344,0.149,CHILD,1,0.149,1
109,294.51099999999997,0.299,ADULT,-1,-0.299,1
110,295.01,3.9419999999999997,ADULT,-1,-3.9419999999999997,1
111,298.112,0.47600000000000003,ADULT,-1,-0.47600000000000003,1
114,300.491,0.52,CHILD,1,0.52,1
115,302.095,0.371,CHILD,1,0.371,1
116,302.992,0.349,ADULT,-1,-0.349,1
117,303.51,4.501,ADULT,-1,-4.501,1
118,306.383,0.128,ADULT,-1,-0.128,1
119,308.14599999999996,5.343999999999999,ADULT,-1,-5.343999999999999,1
121,309.482,0.7709999999999999,ADULT,-1,-0.7709999999999999,1
122,314.73900000000003,85.75399999999999,ADULT,-1,-85.75399999999999,1
124,328.712,1.281,ADULT,-1,-1.281,1
126,374.51,0.8740000000000001,ADULT,-1,-0.8740000000000001,1
128,378.01,1.001,ADULT,-1,-1.001,1
129,381.218,0.7929999999999999,ADULT,-1,-0.7929999999999999,1
130,399.51099999999997,0.34600000000000003,ADULT,-1,-0.34600000000000003,1
132,404.01099999999997,14.702,ADULT,-1,-14.702,1
134,411.723,0.35100000000000003,ADULT,-1,-0.35100000000000003,1
135,420.17699999999996,5.815,ADULT,-1,-5.815,1
137,422.01199999999994,0.469,ADULT,-1,-0.469,1
138,424.57,0.317,ADULT,-1,-0.317,1
139,425.343,0.10099999999999999,ADULT,-1,-0.10099999999999999,1
140,426.51099999999997,25.208000000000002,ADULT,-1,-25.208000000000002,1
142,431.01099999999997,0.769,ADULT,-1,-0.769,1
143,431.936,0.557,ADULT,-1,-0.557,1
144,432.754,0.7,ADULT,-1,-0.7,1
145,433.92199999999997,0.132,ADULT,-1,-0.132,1
146,435.2,0.292,ADULT,-1,-0.292,1
147,436.156,0.354,ADULT,-1,-0.354,1
150,445.51,1.598,ADULT,-1,-1.598,1
151,455.009,6.19,ADULT,-1,-6.19,1
153,462.51199999999994,25.933000000000003,ADULT,-1,-25.933000000000003,1
157,468.214,1.936,ADULT,-1,-1.936,1
159,479.01,1.045,ADULT,-1,-1.045,1
160,482.01099999999997,0.363,ADULT,-1,-0.363,1
161,486.597,0.353,ADULT,-1,-0.353,1
162,487.11,0.7559999999999999,ADULT,-1,-0.7559999999999999,1
163,488.51099999999997,0.5529999999999999,CHILD,1,0.5529999999999999,1
164,489.491,2.02,ADULT,-1,-2.02,1
165,491.417,1.8430000000000002,ADULT,-1,-1.8430000000000002,1
166,491.719,1.002,ADULT,-1,-1.002,1
167,493.01199999999994,15.322000000000001,ADULT,-1,-15.322000000000001,1
168,503.305,1.38,ADULT,-1,-1.38,1
169,504.875,1.117,ADULT,-1,-1.117,1
170,506.959,1.431,ADULT,-1,-1.431,1
171,509.531,9.811,ADULT,-1,-9.811,1
174,522.511,2.501,ADULT,-1,-2.501,1
175,523.511,0.879,ADULT,-1,-0.879,1
176,524.51,1.242,ADULT,-1,-1.242,1
177,525.315,16.429000000000002,ADULT,-1,-16.429000000000002,1
178,534.435,0.953,ADULT,-1,-0.953,1
179,536.404,0.904,ADULT,-1,-0.904,1
180,542.513,41.711999999999996,ADULT,-1,-41.711999999999996,1
182,545.24,0.324,ADULT,-1,-0.324,1
183,546.038,0.45399999999999996,ADULT,-1,-0.45399999999999996,1
184,556.016,1.202,ADULT,-1,-1.202,1
185,558.002,0.489,ADULT,-1,-0.489,1
186,563.91,1.082,ADULT,-1,-1.082,1
187,569.992,2.0,ADULT,-1,-2.0,1
188,583.011,1.5,ADULT,-1,-1.5,1
189,586.511,6.581,ADULT,-1,-6.581,1
191,590.255,0.184,ADULT,-1,-0.184,1
192,593.305,0.182,ADULT,-1,-0.182,1
193,593.992,7.999,ADULT,-1,-7.999,1
194,602.594,0.812,ADULT,-1,-0.812,1
195,602.937,2.835,ADULT,-1,-2.835,1
196,606.504,1.033,CHILD,1,1.033,1
197,606.995,2.911,ADULT,-1,-2.911,1
