,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
1,0.16399999999999998,0.182,CHILD,1,0.182,1
3,10.992,3.1239999999999997,CHILD,1,3.1239999999999997,1
5,14.357000000000001,3.154,CHILD,1,3.154,1
7,18.979,4.03,CHILD,1,4.03,1
9,21.991999999999997,1.465,ADULT,-1,-1.465,1
10,23.628,4.382,CHILD,1,4.382,1
11,23.993000000000002,0.34600000000000003,ADULT,-1,-0.34600000000000003,1
12,41.986999999999995,3.0039999999999996,ADULT,-1,-3.0039999999999996,1
14,46.492,2.9989999999999997,ADULT,-1,-2.9989999999999997,1
17,66.575,15.935,ADULT,-1,-15.935,1
19,71.084,0.9079999999999999,ADULT,-1,-0.9079999999999999,1
23,83.01700000000001,3.545,CHILD,1,3.545,1
25,87.585,0.9259999999999999,ADULT,-1,-0.9259999999999999,1
26,88.493,6.995,ADULT,-1,-6.995,1
27,96.544,0.18600000000000003,ADULT,-1,-0.18600000000000003,1
28,97.01100000000001,13.978,ADULT,-1,-13.978,1
29,110.012,2.0909999999999997,ADULT,-1,-2.0909999999999997,1
30,111.491,3.0,ADULT,-1,-3.0,1
31,112.241,0.233,ADULT,-1,-0.233,1
32,113.51100000000001,0.812,ADULT,-1,-0.812,1
33,116.01100000000001,5.081,ADULT,-1,-5.081,1
35,121.01100000000001,1.9809999999999999,ADULT,-1,-1.9809999999999999,1
36,122.51299999999999,9.499,ADULT,-1,-9.499,1
37,131.011,0.317,ADULT,-1,-0.317,1
38,132.011,1.892,CHILD,1,1.892,1
39,132.958,5.553999999999999,ADULT,-1,-5.553999999999999,1
40,136.205,14.283,ADULT,-1,-14.283,1
41,138.864,0.11,ADULT,-1,-0.11,1
43,150.01,2.9819999999999998,ADULT,-1,-2.9819999999999998,1
44,152.494,3.3819999999999997,ADULT,-1,-3.3819999999999997,1
45,154.589,1.9040000000000001,ADULT,-1,-1.9040000000000001,1
46,155.993,7.007000000000001,ADULT,-1,-7.007000000000001,1
47,158.011,3.648,ADULT,-1,-3.648,1
48,161.803,0.18899999999999997,ADULT,-1,-0.18899999999999997,1
49,162.231,0.115,ADULT,-1,-0.115,1
50,162.58100000000002,1.912,ADULT,-1,-1.912,1
51,163.51,2.3409999999999997,ADULT,-1,-2.3409999999999997,1
53,167.493,0.732,ADULT,-1,-0.732,1
54,167.64,0.852,ADULT,-1,-0.852,1
56,172.493,2.0180000000000002,ADULT,-1,-2.0180000000000002,1
57,174.012,0.138,ADULT,-1,-0.138,1
58,174.511,3.0,ADULT,-1,-3.0,1
59,175.011,2.113,ADULT,-1,-2.113,1
61,179.012,3.3139999999999996,ADULT,-1,-3.3139999999999996,1
62,179.013,14.940999999999999,ADULT,-1,-14.940999999999999,1
63,184.013,0.311,ADULT,-1,-0.311,1
64,192.799,1.645,ADULT,-1,-1.645,1
66,197.011,1.311,ADULT,-1,-1.311,1
67,198.011,3.591,ADULT,-1,-3.591,1
68,200.51,1.7469999999999999,ADULT,-1,-1.7469999999999999,1
69,201.84,0.13699999999999998,ADULT,-1,-0.13699999999999998,1
70,202.51,0.106,ADULT,-1,-0.106,1
71,202.88,1.615,ADULT,-1,-1.615,1
72,204.01,4.646,ADULT,-1,-4.646,1
73,205.011,0.727,ADULT,-1,-0.727,1
74,208.85,0.138,ADULT,-1,-0.138,1
75,209.49099999999999,6.499,ADULT,-1,-6.499,1
77,210.34900000000002,1.828,ADULT,-1,-1.828,1
78,215.796,3.201,ADULT,-1,-3.201,1
79,217.142,0.348,ADULT,-1,-0.348,1
80,218.49200000000002,3.485,ADULT,-1,-3.485,1
81,222.229,1.984,ADULT,-1,-1.984,1
82,223.493,4.519,ADULT,-1,-4.519,1
83,224.335,0.15,ADULT,-1,-0.15,1
84,225.762,0.898,ADULT,-1,-0.898,1
85,227.399,5.111000000000001,ADULT,-1,-5.111000000000001,1
86,233.71900000000002,6.292999999999999,ADULT,-1,-6.292999999999999,1
88,242.511,2.0,ADULT,-1,-2.0,1
90,243.493,0.10099999999999999,ADULT,-1,-0.10099999999999999,1
91,243.771,1.5630000000000002,ADULT,-1,-1.5630000000000002,1
93,247.49200000000002,3.9960000000000004,ADULT,-1,-3.9960000000000004,1
94,252.771,2.722,ADULT,-1,-2.722,1
96,260.992,4.519,ADULT,-1,-4.519,1
99,279.816,0.105,ADULT,-1,-0.105,1
100,280.366,0.626,CHILD,1,0.626,1
101,280.493,2.406,ADULT,-1,-2.406,1
102,282.052,0.626,ADULT,-1,-0.626,1
103,283.51,6.001,ADULT,-1,-6.001,1
104,290.512,2.516,ADULT,-1,-2.516,1
106,291.992,6.595,ADULT,-1,-6.595,1
107,293.342,0.15,ADULT,-1,-0.15,1
108,300.01099999999997,1.979,ADULT,-1,-1.979,1
110,301.01099999999997,0.47100000000000003,ADULT,-1,-0.47100000000000003,1
111,303.991,4.538,ADULT,-1,-4.538,1
113,307.559,2.452,ADULT,-1,-2.452,1
114,308.995,1.018,ADULT,-1,-1.018,1
116,315.012,0.9790000000000001,ADULT,-1,-0.9790000000000001,1
117,315.47,0.6920000000000001,ADULT,-1,-0.6920000000000001,1
118,318.01099999999997,3.5,ADULT,-1,-3.5,1
120,323.01099999999997,23.023000000000003,ADULT,-1,-23.023000000000003,1
122,345.49199999999996,0.614,ADULT,-1,-0.614,1
124,347.531,0.9590000000000001,ADULT,-1,-0.9590000000000001,1
125,349.51,2.778,ADULT,-1,-2.778,1
126,353.01199999999994,7.979,ADULT,-1,-7.979,1
128,359.31300000000005,0.41700000000000004,ADULT,-1,-0.41700000000000004,1
129,360.059,5.093,ADULT,-1,-5.093,1
130,362.31800000000004,11.020999999999999,ADULT,-1,-11.020999999999999,1
131,375.51300000000003,1.976,ADULT,-1,-1.976,1
133,379.991,1.031,CHILD,1,1.031,1
135,382.01300000000003,7.479,ADULT,-1,-7.479,1
137,389.01099999999997,3.417,ADULT,-1,-3.417,1
138,390.49300000000005,1.7080000000000002,ADULT,-1,-1.7080000000000002,1
139,392.92800000000005,1.61,ADULT,-1,-1.61,1
140,394.01099999999997,6.6610000000000005,ADULT,-1,-6.6610000000000005,1
141,394.652,0.111,ADULT,-1,-0.111,1
142,396.711,0.8,ADULT,-1,-0.8,1
143,402.01099999999997,4.48,ADULT,-1,-4.48,1
146,412.49300000000005,1.5190000000000001,ADULT,-1,-1.5190000000000001,1
148,415.23800000000006,3.702,ADULT,-1,-3.702,1
151,421.991,1.5,ADULT,-1,-1.5,1
152,424.01099999999997,5.999,ADULT,-1,-5.999,1
153,431.01099999999997,2.481,ADULT,-1,-2.481,1
158,435.00699999999995,13.981,ADULT,-1,-13.981,1
160,451.01099999999997,6.478,ADULT,-1,-6.478,1
162,456.51300000000003,0.38,ADULT,-1,-0.38,1
164,458.98699999999997,0.527,ADULT,-1,-0.527,1
166,471.852,0.159,ADULT,-1,-0.159,1
167,475.99300000000005,3.9960000000000004,ADULT,-1,-3.9960000000000004,1
171,480.51099999999997,6.48,ADULT,-1,-6.48,1
172,483.663,0.348,ADULT,-1,-0.348,1
173,496.25699999999995,4.9510000000000005,ADULT,-1,-4.9510000000000005,1
175,497.47,0.331,ADULT,-1,-0.331,1
176,500.51099999999997,1.2890000000000001,ADULT,-1,-1.2890000000000001,1
177,501.51199999999994,2.602,ADULT,-1,-2.602,1
178,503.358,0.69,ADULT,-1,-0.69,1
179,506.039,7.472,ADULT,-1,-7.472,1
180,506.51,0.159,ADULT,-1,-0.159,1
181,507.16,0.35100000000000003,ADULT,-1,-0.35100000000000003,1
182,510.82,1.36,ADULT,-1,-1.36,1
183,512.403,0.607,ADULT,-1,-0.607,1
184,513.1569999999999,1.855,ADULT,-1,-1.855,1
185,514.51,3.866,ADULT,-1,-3.866,1
186,520.992,5.518,ADULT,-1,-5.518,1
189,524.013,0.489,ADULT,-1,-0.489,1
190,525.2230000000001,1.865,ADULT,-1,-1.865,1
191,526.6519999999999,4.944,ADULT,-1,-4.944,1
192,531.075,2.555,ADULT,-1,-2.555,1
193,532.011,4.521,ADULT,-1,-4.521,1
194,534.104,2.148,ADULT,-1,-2.148,1
195,539.318,1.844,ADULT,-1,-1.844,1
198,543.012,4.74,ADULT,-1,-4.74,1
199,546.274,0.218,ADULT,-1,-0.218,1
200,546.656,6.612,ADULT,-1,-6.612,1
201,548.3009999999999,0.10800000000000001,ADULT,-1,-0.10800000000000001,1
202,552.018,0.47100000000000003,ADULT,-1,-0.47100000000000003,1
203,553.485,1.19,ADULT,-1,-1.19,1
204,553.947,1.8430000000000002,ADULT,-1,-1.8430000000000002,1
205,554.798,3.694,ADULT,-1,-3.694,1
206,556.76,14.251,ADULT,-1,-14.251,1
208,576.44,5.5520000000000005,ADULT,-1,-5.5520000000000005,1
209,576.516,1.4769999999999999,ADULT,-1,-1.4769999999999999,1
210,581.268,0.17600000000000002,ADULT,-1,-0.17600000000000002,1
211,583.013,1.7209999999999999,ADULT,-1,-1.7209999999999999,1
213,583.836,2.656,ADULT,-1,-2.656,1
214,586.992,9.148,ADULT,-1,-9.148,1
215,587.38,1.411,ADULT,-1,-1.411,1
216,589.83,1.531,ADULT,-1,-1.531,1
217,596.492,3.0,ADULT,-1,-3.0,1
220,600.828,1.237,ADULT,-1,-1.237,1
221,600.9119999999999,0.133,ADULT,-1,-0.133,1
222,601.194,0.317,ADULT,-1,-0.317,1
223,605.36,1.65,CHILD,1,1.65,1
225,606.309,2.481,ADULT,-1,-2.481,1
226,607.117,3.696,ADULT,-1,-3.696,1
227,609.842,1.534,ADULT,-1,-1.534,1
228,611.511,3.915,ADULT,-1,-3.915,1
229,611.513,1.082,ADULT,-1,-1.082,1
230,614.712,0.575,ADULT,-1,-0.575,1
231,615.992,5.999,ADULT,-1,-5.999,1
234,623.406,0.5379999999999999,ADULT,-1,-0.5379999999999999,1
235,626.238,3.407,ADULT,-1,-3.407,1
237,627.677,6.9879999999999995,ADULT,-1,-6.9879999999999995,1
238,632.991,0.52,ADULT,-1,-0.52,1
239,634.174,5.818,ADULT,-1,-5.818,1
240,635.933,0.579,ADULT,-1,-0.579,1
241,637.534,0.457,ADULT,-1,-0.457,1
242,639.51,1.7890000000000001,ADULT,-1,-1.7890000000000001,1
244,641.544,2.449,ADULT,-1,-2.449,1
245,643.013,3.498,ADULT,-1,-3.498,1
246,645.511,1.3619999999999999,ADULT,-1,-1.3619999999999999,1
247,646.694,2.508,ADULT,-1,-2.508,1
248,650.997,9.995,ADULT,-1,-9.995,1
250,652.85,0.11599999999999999,ADULT,-1,-0.11599999999999999,1
251,661.993,1.023,ADULT,-1,-1.023,1
253,662.303,0.8340000000000001,ADULT,-1,-0.8340000000000001,1
254,670.79,6.202000000000001,ADULT,-1,-6.202000000000001,1
256,677.9839999999999,2.617,ADULT,-1,-2.617,1
258,684.0110000000001,3.0,ADULT,-1,-3.0,1
261,689.877,1.6469999999999998,ADULT,-1,-1.6469999999999998,1
262,691.622,8.368,ADULT,-1,-8.368,1
