,START,DUR,LABEL,LABEL_NUM,DUR_TRANS,COUNT
0,11.662,0.32899999999999996,CHILD,1,0.32899999999999996,1
1,14.14,0.218,CHILD,1,0.218,1
4,14.492,0.203,CHILD,1,0.203,1
5,14.940999999999999,3.051,CHILD,1,3.051,1
7,20.340999999999998,0.317,CHILD,1,0.317,1
8,21.138,2.395,CHILD,1,2.395,1
10,24.011,4.629,CHILD,1,4.629,1
12,34.977,3.073,ADULT,-1,-3.073,1
13,38.772,1.115,CHILD,1,1.115,1
15,43.568000000000005,5.69,ADULT,-1,-5.69,1
16,52.49100000000001,1.546,ADULT,-1,-1.546,1
19,54.992,5.945,ADULT,-1,-5.945,1
20,55.70399999999999,0.307,CHILD,1,0.307,1
21,63.398,0.7509999999999999,ADULT,-1,-0.7509999999999999,1
23,63.637,0.23800000000000002,CHILD,1,0.23800000000000002,1
25,65.811,3.925,ADULT,-1,-3.925,1
27,72.492,0.97,ADULT,-1,-0.97,1
28,74.453,2.9360000000000004,ADULT,-1,-2.9360000000000004,1
31,78.163,2.5380000000000003,ADULT,-1,-2.5380000000000003,1
33,82.411,5.581,ADULT,-1,-5.581,1
35,88.493,2.5180000000000002,ADULT,-1,-2.5180000000000002,1
36,91.081,1.421,CHILD,1,1.421,1
37,92.389,0.778,ADULT,-1,-0.778,1
38,93.20700000000001,0.662,CHILD,1,0.662,1
39,93.992,1.001,ADULT,-1,-1.001,1
40,94.492,5.84,ADULT,-1,-5.84,1
41,97.05799999999999,0.17,CHILD,1,0.17,1
42,97.16,0.17600000000000002,CHILD,1,0.17600000000000002,1
43,100.492,4.279,ADULT,-1,-4.279,1
44,100.791,0.221,CHILD,1,0.221,1
45,106.34299999999999,3.532,ADULT,-1,-3.532,1
47,110.12799999999999,5.977,ADULT,-1,-5.977,1
49,117.39399999999999,0.616,ADULT,-1,-0.616,1
50,118.522,5.867000000000001,ADULT,-1,-5.867000000000001,1
53,125.992,0.5,CHILD,1,0.5,1
54,126.01100000000001,1.122,ADULT,-1,-1.122,1
55,128.16899999999998,2.356,ADULT,-1,-2.356,1
58,130.99200000000002,1.4880000000000002,ADULT,-1,-1.4880000000000002,1
60,133.908,0.5670000000000001,CHILD,1,0.5670000000000001,1
61,135.01,4.501,ADULT,-1,-4.501,1
64,140.511,2.524,ADULT,-1,-2.524,1
66,143.49200000000002,1.858,ADULT,-1,-1.858,1
67,144.195,0.297,CHILD,1,0.297,1
68,146.88299999999998,4.172,ADULT,-1,-4.172,1
71,152.511,3.37,ADULT,-1,-3.37,1
72,156.171,9.082,ADULT,-1,-9.082,1
73,162.091,1.92,ADULT,-1,-1.92,1
74,166.58,1.4480000000000002,ADULT,-1,-1.4480000000000002,1
76,168.99099999999999,11.001,ADULT,-1,-11.001,1
78,180.114,0.7070000000000001,ADULT,-1,-0.7070000000000001,1
80,181.268,2.822,ADULT,-1,-2.822,1
81,183.757,0.7290000000000001,CHILD,1,0.7290000000000001,1
82,184.1,0.27699999999999997,CHILD,1,0.27699999999999997,1
84,184.834,2.403,ADULT,-1,-2.403,1
85,186.565,0.562,CHILD,1,0.562,1
86,187.72099999999998,8.385,ADULT,-1,-8.385,1
87,193.543,0.488,ADULT,-1,-0.488,1
88,195.731,0.111,CHILD,1,0.111,1
90,196.31,0.866,ADULT,-1,-0.866,1
91,197.794,3.218,ADULT,-1,-3.218,1
93,201.204,1.016,ADULT,-1,-1.016,1
95,202.92,7.85,ADULT,-1,-7.85,1
96,204.333,0.295,CHILD,1,0.295,1
97,210.889,6.037999999999999,ADULT,-1,-6.037999999999999,1
